섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
반도체,57101010,285A,Kioxia Holdings Corp,tse,2026-06-02,"77,540","78,080",540,0.7,"43,609,900","3,405,060",N/A
Consumer Discretionary,Homefurnishing Retail,WSM,"Williams-Sonoma, Inc.",s&p500,2026-06-03,207.11,208.04,0.93,0.45,"157,450",32.76,N/A
Consumer Staples,Agricultural Products & Services,ADM,Archer Daniels Midland,s&p500,2026-06-03,84.11,84.18,0.07,0.09,"663,800",55.88,N/A
Consumer Staples,Agricultural Products & Services,BG,Bunge Global,s&p500,2026-06-03,131.41,131.70,0.29,0.22,"227,766",30.00,N/A
Consumer Staples,Soft Drinks & Non-alcoholic Beverages,MNST,Monster Beverage,s&p500,2026-05-27,89.24,89.54,0.50,0.56,"1,511,589",135.35,N/A
Energy,Oil & Gas Refining & Marketing,MPC,Marathon Petroleum,s&p500,2026-06-03,267.21,268.23,1.02,0.38,"516,502",138.54,N/A
Financials,Asset Management & Custody Banks,ARES,Ares Management,s&p500,2026-06-01,128.74,130.34,7.24,5.88,"924,187",120.46,N/A
Financials,Asset Management & Custody Banks,BNY,BNY Mellon,s&p500,2026-06-01,142.59,144.31,3.74,2.66,"740,193",106.82,N/A
Financials,Asset Management & Custody Banks,NTRS,Northern Trust,s&p500,2026-04-21,171.74,173.04,4.60,2.73,"134,858",23.34,N/A
Financials,Asset Management & Custody Banks,STT,State Street Corporation,s&p500,2026-06-01,159.79,162.96,5.08,3.22,"432,322",70.45,N/A
Financials,Asset Management & Custody Banks,TROW,T. Rowe Price,s&p500,2026-05-06,106.13,107.72,3.71,3.57,"439,923",47.39,N/A
Financials,Diversified Banks,C,Citigroup,s&p500,2026-04-20,132.42,134.21,4.28,3.29,"3,738,522",501.75,N/A
Financials,Investment Banking & Brokerage,GS,Goldman Sachs,s&p500,2026-06-02,"1,064.58","1,085.00",43.98,4.22,"675,531",732.95,N/A
Financials,Investment Banking & Brokerage,MS,Morgan Stanley,s&p500,2026-06-02,214.98,217.66,7.52,3.58,"1,759,746",383.04,N/A
Financials,Life & Health Insurance,PRU,Prudential Financial,s&p500,2026-05-21,102.84,103.32,2.53,2.51,"301,566",31.16,N/A
Financials,Regional Banks,FITB,Fifth Third Bancorp,s&p500,2026-04-21,51.10,51.28,1.78,3.61,"3,201,585",164.16,N/A
Financials,Regional Banks,RF,Regions Financial Corporation,s&p500,2026-04-30,28.28,28.28,0.89,3.23,"3,368,405",95.28,N/A
Health Care,Biotechnology,INCY,Incyte,s&p500,2026-05-11,100.32,100.90,2.92,2.98,"492,517",49.69,N/A
Health Care,Health Care Technology,SOLV,Solventum,s&p500,2026-06-03,78.36,81.85,3.49,4.45,"826,097",67.62,N/A
Health Care,Life Sciences Tools & Services,A,Agilent Technologies,s&p500,2026-06-03,137.40,140.38,2.98,2.17,"509,809",71.57,N/A
Health Care,Life Sciences Tools & Services,CRL,Charles River Laboratories,s&p500,2026-04-20,185.54,187.19,7.32,4.07,"238,777",44.70,N/A
Health Care,Life Sciences Tools & Services,IQV,IQVIA,s&p500,2026-06-01,186.82,187.07,5.02,2.76,"560,178",104.79,N/A
Health Care,Managed Health Care,CNC,Centene Corporation,s&p500,2026-06-01,62.00,62.80,3.25,5.46,"1,628,825",102.29,N/A
Health Care,Managed Health Care,ELV,Elevance Health,s&p500,2026-06-01,402.66,409.50,18.23,4.66,"448,437",183.63,N/A
Health Care,Managed Health Care,HUM,Humana,s&p500,2026-06-01,328.31,349.40,21.86,6.67,"665,040",232.36,N/A
Health Care,Pharmaceuticals,LLY,Lilly (Eli),s&p500,2026-05-28,"1,126.80","1,136.70",57.92,5.37,"1,673,337","1,902.08",N/A
Industrials,Air Freight & Logistics,EXPD,Expeditors International,s&p500,2026-05-27,160.68,161.14,2.44,1.54,"661,171",106.54,N/A
Industrials,Air Freight & Logistics,UPS,United Parcel Service,s&p500,2026-06-01,109.02,110.82,2.15,1.98,"1,869,811",207.21,N/A
Industrials,Building Products,CARR,Carrier Global,s&p500,2026-05-06,67.90,68.32,0.74,1.09,"1,445,360",98.75,N/A
Industrials,Cargo Ground Transportation,JBHT,J.B. Hunt,s&p500,2026-06-03,280.05,282.36,2.31,0.82,"115,983",32.75,N/A
Industrials,Cargo Ground Transportation,ODFL,Old Dominion,s&p500,2026-06-03,236.06,241.93,5.87,2.49,"714,064",172.75,N/A
Industrials,Construction Machinery & Heavy Transportation Equipment,CAT,Caterpillar Inc.,s&p500,2026-05-06,926.93,933.47,7.29,0.79,"951,186",887.90,N/A
Industrials,Industrial Machinery & Supplies & Components,GWW,W. W. Grainger,s&p500,2026-06-03,"1,284.22","1,288.17",3.95,0.31,"48,686",62.72,N/A
Industrials,Industrial Machinery & Supplies & Components,IEX,IDEX Corporation,s&p500,2026-05-06,217.42,217.90,2.56,1.19,"149,301",32.53,N/A
Industrials,Trading Companies & Distributors,URI,United Rentals,s&p500,2026-06-03,"1,056.58","1,072.77",16.19,1.53,"181,080",194.26,N/A
Information Technology,Communications Equipment,CSCO,Cisco,s&p500,2026-06-02,128.00,128.04,1.54,1.22,"7,062,116",904.23,N/A
Materials,Paper & Plastic Packaging Products & Materials,SW,Smurfit Westrock,s&p500,2026-06-02,42.24,42.64,0.52,1.23,"1,584,068",67.54,N/A
Materials,Steel,NUE,Nucor,s&p500,2026-06-02,258.46,263.57,5.84,2.27,"332,358",87.60,N/A
Materials,Steel,STLD,Steel Dynamics,s&p500,2026-06-03,275.13,279.40,4.27,1.55,"197,353",55.14,N/A
Real Estate,Hotel & Resort REITs,HST,Host Hotels & Resorts,s&p500,2026-06-03,23.85,24.23,0.38,1.59,"1,518,614",36.80,N/A
Real Estate,Multi-Family Residential REITs,CPT,Camden Property Trust,s&p500,2026-06-03,108.89,110.46,1.57,1.44,"288,490",31.87,N/A
Real Estate,Multi-Family Residential REITs,EQR,Equity Residential,s&p500,2026-05-27,66.63,66.91,0.77,1.16,"760,516",50.89,N/A
Real Estate,Multi-Family Residential REITs,ESS,Essex Property Trust,s&p500,2026-06-03,277.79,281.38,3.59,1.29,"120,849",34.00,N/A
Real Estate,Multi-Family Residential REITs,MAA,Mid-America Apartment Communities,s&p500,2026-06-03,132.54,134.76,2.22,1.67,"367,988",49.59,N/A
Real Estate,Multi-Family Residential REITs,UDR,"UDR, Inc.",s&p500,2026-05-26,38.03,38.24,0.63,1.69,"1,388,137",53.09,N/A
Real Estate,Office REITs,ARE,Alexandria Real Estate Equities,s&p500,2026-06-02,52.74,52.77,1.50,2.93,"364,784",19.25,N/A
Real Estate,Office REITs,BXP,"BXP, Inc.",s&p500,2026-06-02,61.21,62.03,1.13,1.86,"464,241",28.80,N/A
가구 제조업,"사무용가구,금속가구 도매,제조",071950,코아스,kospi,2026-03-12,"2,350","2,560",465,22.2,"390,745","1,000",318
고무제품 제조업,타이어 제조,161390,한국타이어앤테크놀로지,kospi,2026-06-02,"69,800","71,800","2,000",2.87,"600,479","43,114","88,942"
기타 금융업,-,105560,KB금융,kospi,2026-05-08,"161,700","164,200","7,600",4.85,"2,143,129","351,901","612,220"
기타 금융업,금융지주회사,055550,신한지주,kospi,2026-04-29,"100,000","100,100","3,700",3.84,"2,050,259","205,230","475,129"
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-06-02,"1,346,000","1,361,000","15,000",1.11,"858,305","1,168,153","1,795,953"
기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",028260,삼성물산,kospi,2026-06-02,"485,500","535,000","49,500",10.2,"1,331,923","712,578","867,596"
기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",02826K,삼성물산우B,kospi,2026-05-11,"265,000","265,000","13,500",5.37,"26,331","6,977","3,889"
기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",001740,SK네트웍스,kospi,2026-06-02,"12,840","13,010",170,1.32,"27,970,908","363,901","26,097"
보험업,생명보험상품,085620,미래에셋생명,kospi,2026-03-18,"18,280","19,410","2,210",12.85,"1,592,402","30,908","26,238"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000810,삼성화재,kospi,2026-06-02,"641,000","730,000","89,000",13.88,"477,484","348,563","325,926"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000815,삼성화재우,kospi,2026-05-22,"393,000","411,500","25,000",6.47,"91,705","37,736","12,373"
소프트웨어 개발 및 공급업,모바일게임,192080,더블유게임즈,kospi,2026-05-28,"70,000","70,300",400,0.57,"86,233","6,062","14,884"
자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",092200,디아이씨,kospi,2026-06-02,"9,600","10,260",660,6.88,"3,356,418","34,436","3,989"
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",007810,코리아써키트,kospi,2026-06-01,"119,600","122,300","13,300",12.2,"566,416","69,272","29,330"
