섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",002220,한일철강,kospi,2026-05-04,"5,740","5,870",190,3.35,"860,891","5,053","1,567"
기초 화학물질 제조업,"불소화물 제조,도매",093370,후성,kospi,2026-05-04,"14,130","16,240","2,720",20.12,"32,761,114","532,040","17,418"
기타 전문 도매업,"화공약품, 안경렌즈",002810,삼영무역,kospi,2026-05-13,"21,800","22,050",250,1.15,"35,758",788,"4,071"
의약품 제조업,의약품 제조,002630,오리엔트바이오,kospi,2026-06-09,783,857,74,9.45,"1,731,692","1,484",508
종합 소매업,백화점,069960,현대백화점,kospi,2026-06-09,"166,800","170,900","4,100",2.46,"249,098","42,570","36,854"
종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",023530,롯데쇼핑,kospi,2026-06-09,"181,900","195,500","13,600",7.48,"232,402","45,434","55,304"
종합 소매업,"백화점,할인점(E마트)",004170,신세계,kospi,2026-06-04,"659,000","685,000","61,000",9.78,"164,540","112,709","64,699"
특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",319660,피에스케이,kosdaq global,2026-06-09,"138,200","145,800","7,600",5.5,"1,279,546","186,557","42,233"
금융 지원 서비스업,금융 지원 서비스(기업인수목적회사),474490,유안타제16호스팩,kosdaq,2026-03-18,"2,055","2,055",0,0.0,"3,596",7,113
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105",0,0.0,735,1,153
기타 금융업,화장품용 진주광택안료,900310,컬러레이,kosdaq,2026-04-27,542,"1,840","1,320",253.85,"519,065",955,235
봉제의복 제조업,"캐쥬얼의류(Thursday Island, TI FOR MEN)",065060,지엔코,kosdaq,2026-06-08,"3,865","3,950",145,3.81,"69,982",276,236
소프트웨어 개발 및 공급업,CRM 소프트웨어,417860,오브젠,kosdaq,2026-06-08,"13,650","13,970","1,620",13.12,"2,174,390","30,376",656
소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",950190,고스트스튜디오,kosdaq,2026-04-21,"8,570","8,700",160,1.87,"129,528","1,126","1,132"
의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor",228850,레이언스,kosdaq,2026-05-26,"6,970","6,990",330,4.95,"101,907",712,"1,159"
자동차 신품 부품 제조업,자동차부품,126640,화신정공,kosdaq,2026-06-09,"3,410","4,430","1,020",29.91,"23,769,605","105,299","1,552"
자연과학 및 공학 연구개발업,면역항암제,950220,네오이뮨텍,kosdaq,2026-05-13,566,"1,767","1,266",252.69,"1,839,123","3,249",592
전자부품 제조업,프리즘시트,073110,엘엠에스,kosdaq,2026-06-09,"6,290","6,380",90,1.43,"22,157",141,567
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",enView,328380,솔트웨어,kosdaq,2026-05-12,"3,915","4,390","1,010",29.88,"561,860","2,466",300
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",040350,크레오에스지,kosdaq,2026-06-08,"9,890","9,900",400,4.21,"385,080","3,812","1,932"
특수 목적용 기계 제조업,300mm Poly Etch System,089970,브이엠,kosdaq,2026-06-09,"76,600","80,800","4,200",5.48,"1,215,069","98,177","20,015"
특수 목적용 기계 제조업,"Descum, Reflow",031980,피에스케이홀딩스,kosdaq,2026-05-22,"137,100","138,700","13,700",10.96,"718,438","99,647","29,907"
특수 목적용 기계 제조업,반도체장비(화학증착장비),095610,테스,kosdaq,2026-06-09,"161,400","173,400","12,000",7.43,"991,285","171,888","33,570"
