섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-06-18,"1,700,000","1,780,000","80,000",4.71,"1,516,850","2,699,993","2,348,859"
기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",034730,SK,kospi,2026-06-17,"708,000","724,000","37,000",5.39,"465,982","337,370","524,919"
기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",03473K,SK우,kospi,2026-06-17,"435,000","440,500","20,500",4.88,"7,833","3,450","2,493"
반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",000660,SK하이닉스,kospi,2026-06-18,"2,685,000","2,764,000","79,000",2.94,"7,478,195","20,669,730","19,699,093"
보험업,"생명보험,부동산 임대",032830,삼성생명,kospi,2026-06-02,"480,000","497,000","28,000",5.97,"681,949","338,928","994,000"
보험업,생명보험상품,085620,미래에셋생명,kospi,2026-06-16,"32,250","34,550","2,550",7.97,"4,559,248","157,522","46,704"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000815,삼성화재우,kospi,2026-06-18,"427,000","439,000","12,000",2.81,"37,802","16,595","13,200"
전자부품 제조업,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",009150,삼성전기,kospi,2026-06-18,"2,200,000","2,270,000","70,000",3.18,"1,728,303","3,923,247","1,695,546"
전자부품 제조업,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",009155,삼성전기우,kospi,2026-05-29,"765,000","809,000","83,000",11.43,"359,906","291,163","23,517"
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-06-18,"4,595","5,180",585,12.73,"4,607,427","23,866",608
광고업,"영상콘텐츠 제작 및 매니지먼트, 광고, 여행",048550,SM C&C,kosdaq,2026-06-18,"1,290","1,380",90,6.98,"2,848,613","3,931","1,334"
기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴",019210,와이지-원,kosdaq,2026-06-18,"21,900","22,600",700,3.2,"2,026,353","45,795","8,405"
"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재),134060,이퓨쳐,kosdaq,2026-06-12,"4,790","4,905",140,2.94,"35,733",175,233
"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리,036000,예림당,kosdaq,2026-06-17,"3,300","3,305",5,0.15,"67,406",222,761
소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",950190,고스트스튜디오,kosdaq,2026-06-18,"9,520","9,580",60,0.63,"88,565",848,"1,247"
"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘",198440,강동씨앤엘,kosdaq,2026-06-18,"1,859","2,415",556,29.91,"8,037,407","19,410","1,471"
알코올음료 제조업,맥주,276730,한울앤제주,kosdaq,2026-06-18,"16,920","19,470","2,550",15.07,"120,358","2,343",444
의약품 제조업,"매니큐어세트, 손톱깎이",067290,JW신약,kosdaq,2026-06-17,"2,335","2,335",270,13.08,"63,725,445","148,798","1,308"
자연과학 및 공학 연구개발업,대사성질환 치료제 등,347850,디앤디파마텍,kosdaq,2026-06-18,"108,300","111,200","2,900",2.68,"2,431,755","270,411","48,710"
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건설장비용 전장품,제어기",053160,프리엠스,kosdaq,2026-04-06,"9,580","9,600",140,1.48,"75,380",723,576
전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터",149950,아바텍,kosdaq,2026-06-01,"16,390","17,310","1,100",6.79,"2,371,086","41,043","2,365"
전자부품 제조업,"칩바리스터, 아몰퍼스코어",052710,아모텍,kosdaq,2026-06-18,"31,900","32,600",700,2.19,"1,097,400","35,775","4,763"
특수 목적용 기계 제조업,비전검사장비,320000,한울반도체,kosdaq,2026-05-13,"14,340","17,820","4,110",29.98,"1,019,638","18,169","1,188"
