섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
반도체,57101010,285A,Kioxia Holdings Corp,tse,2026-06-02,"77,540","78,080",540,0.7,"43,609,900","3,405,060",N/A
Consumer Discretionary,Automotive Parts & Equipment,APTV,Aptiv,s&p500,2026-06-02,73.85,76.82,2.97,4.02,"6,967,800",535.27,N/A
Consumer Discretionary,Homefurnishing Retail,WSM,"Williams-Sonoma, Inc.",s&p500,2026-05-28,205.60,207.11,3.27,1.6,"738,800",153.01,N/A
Consumer Staples,Agricultural Products & Services,ADM,Archer Daniels Midland,s&p500,2026-06-01,82.62,84.11,1.65,2.0,"3,496,400",294.08,N/A
Consumer Staples,Agricultural Products & Services,BG,Bunge Global,s&p500,2026-06-01,129.97,131.41,2.28,1.77,"2,394,700",314.69,N/A
Consumer Staples,Soft Drinks & Non-alcoholic Beverages,KDP,Keurig Dr Pepper,s&p500,2026-06-02,30.36,30.55,0.19,0.63,"12,280,600",375.17,N/A
Energy,Oil & Gas Refining & Marketing,MPC,Marathon Petroleum,s&p500,2026-06-02,263.06,267.21,4.15,1.58,"2,332,400",623.24,N/A
Energy,Oil & Gas Refining & Marketing,VLO,Valero Energy,s&p500,2026-05-19,261.38,261.45,3.19,1.24,"2,689,900",703.27,N/A
Health Care,Health Care Technology,SOLV,Solventum,s&p500,2026-05-22,76.83,78.36,1.93,2.53,"1,793,400",140.53,N/A
Health Care,Life Sciences Tools & Services,A,Agilent Technologies,s&p500,2026-06-01,135.98,137.40,2.35,1.74,"2,928,200",402.33,N/A
Industrials,Building Products,JCI,Johnson Controls,s&p500,2026-04-30,146.03,146.96,4.97,3.5,"5,298,000",778.59,N/A
Industrials,Cargo Ground Transportation,JBHT,J.B. Hunt,s&p500,2026-06-01,279.46,280.05,4.46,1.62,"809,500",226.70,N/A
Industrials,Cargo Ground Transportation,ODFL,Old Dominion,s&p500,2026-06-02,228.79,236.06,7.27,3.18,"2,342,500",552.97,N/A
Industrials,Electrical Components & Equipment,GNRC,Generac,s&p500,2026-06-02,284.58,285.31,0.73,0.26,"916,800",261.57,N/A
Industrials,Industrial Machinery & Supplies & Components,GWW,W. W. Grainger,s&p500,2026-05-14,"1,284.19","1,284.22",15.86,1.25,"291,100",373.84,N/A
Industrials,Trading Companies & Distributors,URI,United Rentals,s&p500,2026-06-01,997.82,"1,056.58",61.76,6.21,"859,600",908.24,N/A
Information Technology,Semiconductor Materials & Equipment,AMAT,Applied Materials,s&p500,2026-06-02,490.05,500.77,10.72,2.19,"8,934,800","4,474.28",N/A
Information Technology,Semiconductor Materials & Equipment,KLAC,KLA Corporation,s&p500,2026-06-02,"2,045.20","2,125.11",79.91,3.91,"1,016,800","2,160.81",N/A
Information Technology,Semiconductor Materials & Equipment,LRCX,Lam Research,s&p500,2026-06-02,334.41,343.71,9.30,2.78,"8,597,400","2,955.01",N/A
Information Technology,Semiconductors,ADI,Analog Devices,s&p500,2026-05-13,431.21,437.67,14.47,3.42,"5,688,800","2,489.82",N/A
Information Technology,Semiconductors,AMD,Advanced Micro Devices,s&p500,2026-06-02,521.54,542.52,20.98,4.02,"29,194,500","15,838.60",N/A
Information Technology,Semiconductors,FSLR,First Solar,s&p500,2026-06-02,311.01,318.25,7.24,2.33,"2,700,400",859.40,N/A
Information Technology,Semiconductors,MPWR,Monolithic Power Systems,s&p500,2026-05-26,"1,662.98","1,689.89",64.90,3.99,"441,100",745.41,N/A
Information Technology,Semiconductors,MU,Micron Technology,s&p500,2026-06-02,"1,064.10","1,079.57",15.47,1.45,"39,924,200","43,100.97",N/A
Information Technology,Semiconductors,ON,ON Semiconductor,s&p500,2026-06-02,128.64,133.93,5.29,4.11,"10,081,500","1,350.22",N/A
Information Technology,"Technology Hardware, Storage & Peripherals",NTAP,NetApp,s&p500,2026-06-01,179.70,181.08,5.44,3.1,"3,432,900",621.63,N/A
Information Technology,"Technology Hardware, Storage & Peripherals",SNDK,Sandisk,s&p500,2026-06-01,"1,761.43","1,831.50",115.14,6.71,"11,789,800","21,593.02",N/A
Information Technology,"Technology Hardware, Storage & Peripherals",STX,Seagate Technology,s&p500,2026-06-02,926.61,940.69,14.08,1.52,"2,891,000","2,719.53",N/A
Information Technology,"Technology Hardware, Storage & Peripherals",WDC,Western Digital,s&p500,2026-06-02,563.10,594.11,31.01,5.51,"7,819,600","4,645.70",N/A
Materials,Steel,STLD,Steel Dynamics,s&p500,2026-06-02,271.41,275.13,3.72,1.37,"1,052,300",289.52,N/A
Real Estate,Hotel & Resort REITs,HST,Host Hotels & Resorts,s&p500,2026-06-02,23.65,23.85,0.20,0.85,"11,439,800",272.84,N/A
Real Estate,Multi-Family Residential REITs,CPT,Camden Property Trust,s&p500,2026-05-27,108.09,108.89,2.79,2.63,"1,042,600",113.53,N/A
Real Estate,Multi-Family Residential REITs,ESS,Essex Property Trust,s&p500,2026-06-02,277.57,277.79,0.22,0.08,"345,200",95.89,N/A
Real Estate,Multi-Family Residential REITs,MAA,Mid-America Apartment Communities,s&p500,2026-05-22,131.14,132.54,3.58,2.78,"1,439,100",190.74,N/A
고무제품 제조업,타이어 제조,161390,한국타이어앤테크놀로지,kospi,2026-06-01,"68,700","69,800","1,100",1.6,"463,701","32,366","86,464"
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-05-27,"1,276,000","1,346,000","90,000",7.17,"1,086,778","1,462,803","1,776,159"
기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",028260,삼성물산,kospi,2026-06-01,"455,000","485,500","30,500",6.7,"866,619","420,743","787,323"
기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",001740,SK네트웍스,kospi,2026-05-28,"11,980","12,840",960,8.08,"5,333,706","68,484","25,756"
보험업,"생명보험,부동산 임대",032830,삼성생명,kospi,2026-06-01,"410,000","480,000","70,000",17.07,"772,311","370,709","960,000"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000810,삼성화재,kospi,2026-06-01,"604,000","641,000","37,000",6.13,"215,423","138,086","286,190"
소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",036570,NC,kospi,2026-06-01,"295,500","338,000","42,500",14.38,"841,776","284,520","72,818"
자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",092200,디아이씨,kospi,2026-03-06,"9,460","9,600",910,10.47,"2,721,870","26,129","3,733"
자동차 신품 부품 제조업,차랑용 스프링 및 시트,000430,대원강업,kospi,2026-05-28,"4,755","4,845",275,6.02,"615,688","2,983","3,003"
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,035420,NAVER,kospi,2026-06-01,"271,500","280,500","9,000",3.31,"9,275,907","2,601,891","440,030"
전기 통신업,"이동전화,무선호출서비스,부가통신",017670,SK텔레콤,kospi,2026-06-01,"112,200","125,200","13,000",11.59,"8,152,778","1,020,727","268,917"
전자부품 제조업,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",034220,LG디스플레이,kospi,2026-05-29,"16,090","16,690",890,5.63,"61,644,431","1,028,845","83,450"
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",286940,롯데이노베이트,kospi,2026-04-28,"23,700","24,100",550,2.34,"169,174","4,077","3,646"
텔레비전 방송업,"케이블TV, 인터넷서비스 등",037560,LG헬로비전,kospi,2026-06-01,"2,860","3,170",310,10.84,"65,929,784","208,997","2,455"
통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",066570,LG전자,kospi,2026-06-01,"380,500","392,500","12,000",3.15,"10,466,703","4,108,180","639,322"
통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",005930,삼성전자,kospi,2026-06-01,"349,000","360,500","11,500",3.3,"44,720,282","16,121,661","21,075,834"
통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",005935,삼성전자우,kospi,2026-06-01,"229,000","231,500","2,500",1.09,"9,328,789","2,159,614","1,857,489"
특수 목적용 기계 제조업,협동로봇,454910,두산로보틱스,kospi,2026-06-01,"138,400","166,700","28,300",20.45,"9,339,442","1,556,884","108,054"
금융 지원 서비스업,기업인수목적 주식회사,472230,에스케이증권제11호스팩,kosdaq,2026-03-06,"2,070","2,070",0,0.0,"44,547",92,86
금융 지원 서비스업,기업인수합병,464680,KB제27호스팩,kosdaq,2026-05-29,"2,110","2,110",0,0.0,"264,120",557,272
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-05-27,"2,100","2,100",0,0.0,"69,671",146,153
소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션",047080,한빛소프트,kosdaq,2026-05-22,"1,484","1,640",222,15.66,"5,466,048","8,964",407
소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",357880,SKAI,kosdaq,2026-05-26,"5,370","5,790",440,8.22,"9,586,554","55,506","3,050"
전기 및 통신 공사업,WLL/GPS/위성DMB/VoIP 단말기,036630,세종텔레콤,kosdaq,2026-06-01,"12,500","12,600",100,0.8,"59,799",753,"1,260"
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",040350,크레오에스지,kosdaq,2026-06-01,"6,130","6,150",20,0.33,"734,290","4,515","1,200"
특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",108490,로보티즈,kosdaq,2026-06-01,"402,500","405,000","2,500",0.62,"1,077,137","436,240","59,360"
특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비",090360,로보스타,kosdaq,2026-06-01,"122,200","158,800","36,600",29.95,"1,642,275","260,793","15,483"
특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비",271830,팸텍,kosdaq,2026-03-25,"1,685","1,816",419,29.99,"2,064,989","3,750",535
