섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",001740,SK네트웍스,kospi,2026-06-04,"13,010","14,170","3,270",30.0,"56,509,514","800,739","28,424"
보험업,생명보험상품,085620,미래에셋생명,kospi,2026-06-04,"19,410","21,000","2,410",12.96,"4,839,465","101,628","28,387"
의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",003220,대원제약,kospi,2026-06-05,"11,240","12,400","1,160",10.32,"3,573,508","44,311","2,781"
종합 소매업,백화점,069960,현대백화점,kospi,2026-06-05,"146,500","148,600","2,100",1.43,"296,058","43,994","32,045"
,,464680,KB제27호스팩,kosdaq,2026-05-29,"2,110","2,110",0,0.0,"275,630",581,272
금융 지원 서비스업,기업인수목적 주식회사,472230,에스케이증권제11호스팩,kosdaq,2026-03-11,"2,070","2,070",0,0.0,"38,093",78,86
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105",0,0.0,"38,337",80,153
봉제의복 제조업,"캐쥬얼의류(Thursday Island, TI FOR MEN)",065060,지엔코,kosdaq,2026-06-05,"3,680","3,865",185,5.03,"180,226",696,231
소프트웨어 개발 및 공급업,CRM 소프트웨어,417860,오브젠,kosdaq,2026-04-27,"13,000","13,650","3,150",30.0,"758,820","10,357",641
자동차 신품 부품 제조업,자동차부품,126640,화신정공,kosdaq,2026-05-29,"2,260","2,625",605,29.95,"2,316,909","6,081",920
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",040350,크레오에스지,kosdaq,2026-06-05,"7,820","9,890","2,070",26.47,"1,156,224","11,435","1,930"
특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비",271830,팸텍,kosdaq,2026-06-04,"2,360","2,710",625,29.98,"11,192,834","30,332",799
