섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
기타 금융업,금융지주회사,055550,신한지주,kospi,2026-06-05,"107,500","110,700","106,500","107,700",400,0.37,"1,191,015","128,272","511,202"
봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",014990,인디에프,kospi,2026-06-26,"1,720","1,890","1,629","1,843",218,13.42,"96,501",177,276
수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,014710,사조씨푸드,kospi,2026-07-03,"8,680","8,870","8,490","8,740",60,0.69,"18,475",161,"1,504"
신탁업 및 집합투자업,,415640,KB발해인프라,kospi,2026-07-03,"10,400","10,790","10,200","10,560",160,1.54,"113,674","1,200","12,940"
토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",001260,남광토건,kospi,2026-04-10,"10,750","11,780","9,220","10,950","1,630",17.49,"2,209,909","24,198","1,076"
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-07-02,"10,360","11,800","7,510","11,240","1,740",18.32,"5,116,895","57,513","1,319"
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-07-02,"10,360","11,800","7,510","11,240","1,740",18.32,"5,116,895","57,513","1,319"
건물 건설업,아파트 시행 및 시공,007680,대원,kosdaq,2026-05-06,"4,540","5,100","4,200","5,100","1,170",29.77,"290,141","1,479",674
"건축기술, 엔지니어링 및 관련 기술 서비스업",지열냉난방시스템,270520,앱튼,kosdaq,2026-07-02,"2,610","2,975","2,505","2,645",125,4.96,"508,572","1,345",519
금융 지원 서비스업,금융 지원 서비스,473050,유안타제15호스팩,kosdaq,2026-06-09,"2,080","2,080","2,075","2,080",0,0.0,645,1,145
금융 지원 서비스업,합병,0105P0,유진스팩12호,kosdaq,2026-04-09,"2,010","2,010","2,005","2,010",0,0.0,154,0,113
기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,148930,에이치와이티씨,kosdaq,2026-07-03,"3,290","3,455","3,200","3,390",100,3.04,"142,781",484,344
기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴",019210,와이지-원,kosdaq,2026-06-19,"22,600","28,500","23,200","26,550","3,950",17.48,"2,911,908","77,311","9,874"
기타 금융업,화장품용 진주광택안료,900310,컬러레이,kosdaq,2026-07-03,"2,050","2,110","2,000","2,055",5,0.24,"3,699",7,263
기타 전문 도매업,"표면처리약품, 전자동 도금설비",042040,케이피엠테크,kosdaq,2026-06-26,"4,275","4,620","4,620","4,620","1,065",29.96,"19,627",90,114
기타 화학제품 제조업,화학제품 및 전자재료,060230,제이케이시냅스,kosdaq,2026-04-27,512,"1,495","1,157","1,177",878,293.65,"429,585",505,132
상품 중개업,골프시뮬레이터,121440,골프존홀딩스,kosdaq,2026-07-01,"6,640","6,670","6,640","6,650",10,0.15,"514,552","3,421","2,848"
의약품 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)",200230,텔콘RF제약,kosdaq,2026-06-30,"2,425","2,720","2,720","2,720",625,29.83,"137,737",374,194
전문디자인업,"캐릭터디자인,캐릭터완구 등",039830,오로라,kosdaq,2026-07-03,"20,400","22,650","20,150","22,000","1,600",7.84,"215,703","4,745","2,367"
통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",061040,알에프텍,kosdaq,2026-07-03,"8,300","8,490","8,140","8,320",20,0.24,"22,561",187,752
플라스틱제품 제조업,유무선 통신용 소프트웨어,050760,에스폴리텍,kosdaq,2026-04-13,"1,460","1,669","1,391","1,572",182,13.09,"2,106,096","3,310",256
회사 본부 및 경영 컨설팅 서비스업,경영자문 및 지주사업,035610,솔본,kosdaq,2026-04-29,"3,825","3,985","3,785","3,850",35,0.92,"92,331",355,"1,052"
