섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,CMG,CMC Corp,hose,2026-07-02,"27,300","27,600","27,100","27,450",200,0.73,"102,292","2,807",N/A
건설 및 엔지니어링,52201020,CCC,CDC Construction JSC,hose,2026-07-03,"7,400","7,400","7,400","7,400",0,0.0,100,0,N/A
건설 자재,51202010,DHA,Hoa An JSC,hose,2026-07-03,"52,500","52,900","52,000","52,600",100,0.19,"6,968",366,N/A
공항 운영 및 서비스,52407010,NCT,Noibai Cargo Terminal Services JSC,hose,2026-07-03,"95,200","96,500","95,000","95,600",400,0.42,"30,967","2,960",N/A
기타 전문 소매,53403090,AST,Taseco Air Services JSC,hose,2026-07-02,"62,400","63,800","63,000","63,000",700,1.12,491,30,N/A
기타 전문 소매,53403090,PNC,Phuong Nam Cultural Joint Stock Corp,hose,2026-07-02,"29,600","31,500","31,500","31,500","1,900",6.42,"1,228",38,N/A
농화학제,51101020,ABS,Binhthuan Agriculture Services JSC,hose,2026-06-01,"3,050","3,080","3,030","3,060",10,0.33,"190,505",582,N/A
농화학제,51101020,VPS,Vietnam Pesticide JSC,hose,2026-07-03,"9,880","9,890","9,880","9,880",0,0.0,"1,489",14,N/A
민자 발전 사업,59101020,POW,Petrovietnam Power Corp,hose,2026-07-02,"14,900","15,150","14,800","15,000",100,0.67,"8,568,862","128,532",N/A
민자 발전 사업,59101020,SJD,Can Don Hydro Power JSC,hose,2026-05-19,"14,150","14,200","14,100","14,150",0,0.0,"73,560","1,040",N/A
"오일, 가스 정제 및 마케팅",50102030,CCI,CuChi Commercial and Industrial Developing Investment JSC,hose,2026-07-02,"19,200","19,200","19,200","19,200",0,0.0,200,3,N/A
"오일, 가스 정제 및 마케팅",50102030,PGC,Petrolimex Gas Corp JSC,hose,2026-07-02,"12,400","12,400","12,200","12,400",0,0.0,325,4,N/A
용기(종이 제외) 및 포장재,51302010,TPC,Tan Dai Hung Plastic JSC,hose,2026-04-14,"11,050","11,050","11,050","11,050",50,0.45,711,7,N/A
은행,55101010,NAB,Nam A Commercial Joint Stock Bank,hose,2026-06-30,"13,200","13,200","13,050","13,200",100,0.76,"1,634,933","21,581",N/A
의약품 소매,54301010,VMD,Vimedimex Medi Pharma JSC,hose,2026-07-02,"14,500","14,500","14,500","14,500",0,0.0,"1,800",26,N/A
지상 화물 및 물류,52405030,TMS,Transimex Corp,hose,2026-07-03,"37,700","37,700","37,650","37,700",0,0.0,"1,400",52,N/A
타이어 및 고무 제품,53101030,CSM,Southern Rubber Industry JSC,hose,2026-07-03,"13,650","13,800","13,650","13,800",150,1.1,"369,867","5,104",N/A
투자 관리 및 펀드 운영,55102020,PTC,iCapital Investment JSC,hose,2026-07-02,"6,740","6,840","6,510","6,840",100,1.48,400,2,N/A
투자 은행 및 중개 서비스,55102010,DSC,DSC Securities Corp,hose,2026-06-09,"13,600","14,000","13,550","13,600",200,1.49,"41,013",557,N/A
투자 은행 및 중개 서비스,55102010,TVB,T-Cap Securities JSC,hose,2026-04-21,"7,750","7,890","7,610","7,760",160,2.11,"79,153",614,N/A
투자 은행 및 중개 서비스,55102010,VDS,Viet Dragon Securities Corp,hose,2026-07-03,"15,900","16,300","15,700","16,200",300,1.89,"1,545,973","25,044",N/A
투자 은행 및 중개 서비스,55102010,VND,VNDIRECT Securities Corp,hose,2026-07-03,"18,400","18,650","18,400","18,500",100,0.54,"5,511,840","101,969",N/A
항공사,52406010,HVN,Vietnam Airlines JSC,hose,2026-07-03,"25,300","25,700","25,300","25,300",0,0.0,"1,111,900","28,131",N/A
