섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,603466,Shanghai Fengyuzhu Culture Technology Co Ltd Class A,sse,2026-06-09,12.24,12.79,12.03,12.79,1.16,9.97,"45,791,054",585,N/A
개인 생활 필수 용품,54201020,603983,Guangdong Marubi Biotechnology Co Ltd Class A,sse,2026-07-03,29.16,30.43,28.48,29.98,0.82,2.81,"3,441,400",103,N/A
금 제외 귀금속 및 광물,51201010,600172,Henan Huanghe Whirlwind Co Ltd Class A,sse,2026-06-25,18.27,18.55,16.67,18.55,1.69,10.02,"138,583,826","2,570",N/A
반도체,57101010,600601,Founder Technology Group Co Ltd Class A,sse,2026-07-03,15.12,15.86,14.92,15.19,0.07,0.46,"139,631,716","2,121",N/A
반도체,57101010,688141,JoulWatt Technology Co Ltd Class A,sse,2026-07-03,156,168.31,154.95,164.47,8.47,5.43,"6,249,256","1,027",N/A
"배달, 우편, 항공 화물 및 육상 물류",52405010,601156,Eastern Air Logistics Co Ltd Class A,sse,2026-07-02,17.81,18.30,17.60,18.27,0.47,2.64,"4,682,900",85,N/A
산업용 기계 및 장비,52102010,603032,Delixi New Energy Technology Co Ltd Class A,sse,2026-05-28,27.64,30.36,28.10,29.82,2.22,8.04,"22,125,855",659,N/A
산업용 기계 및 장비,52102010,603757,Zhejiang Dayuan Pumps Industry Co Ltd Class A,sse,2026-06-30,75.76,79.19,70.31,79.19,7.20,10.0,"7,006,577",554,N/A
산업용 기계 및 장비,52102010,605389,JiangSu Changling Hydraulic Co Ltd Class A,sse,2026-07-01,99.89,104.80,99.52,101.81,2.29,2.3,"898,290",91,N/A
산업용 기계 및 장비,52102010,688112,Siglent Technologies Co Ltd Class A,sse,2026-07-03,84.91,91.17,84.01,88.88,3.97,4.68,"2,860,568",254,N/A
생명 공학 및 의학 연구,56202010,688222,HitGen Inc Class A,sse,2026-07-01,33.32,34.20,31.82,33.56,1.15,3.55,"8,518,198",285,N/A
생명 공학 및 의학 연구,56202010,688235,BeOne Medicines AG Class A,sse,2026-05-12,267.98,278.35,260.50,278.07,11.11,4.16,"3,726,459","1,036",N/A
생명 공학 및 의학 연구,56202010,688331,RemeGen Co Ltd Class A,sse,2026-04-16,153.26,155,143.01,153.99,5.59,3.77,"5,640,357",868,N/A
생명 공학 및 의학 연구,56202010,688382,InventisBio Co Ltd Class A,sse,2026-04-30,23.30,25.08,21.88,24.63,1.87,8.22,"13,603,203",335,N/A
생명 공학 및 의학 연구,56202010,688578,Shanghai Allist Pharmaceuticals Co Ltd Class A,sse,2026-07-03,130.88,132.50,124.05,132.45,1.57,1.2,"6,175,269",817,N/A
"오일, 가스 정제 및 마케팅",50102030,603223,Hengtong Logistics Co Ltd Class A,sse,2026-07-03,14.15,14.90,13.85,14.84,0.69,4.88,"16,421,603",243,N/A
"오일, 가스 정제 및 마케팅",50102030,603351,Nanjing Well Pharmaceutical Group Co Ltd Class A,sse,2026-05-11,27.74,28.28,27,28.12,0.46,1.66,"1,045,000",29,N/A
"의료 장비, 물품 및 유통",56101020,688068,Beijing Hotgen Biotech Co Ltd Class A,sse,2026-04-15,126.25,141.99,115.88,137.10,14.13,11.49,"4,297,262",589,N/A
"자동차, 트럭 및 오토바이 부품",53101020,603040,Hangzhou XZB Tech Co Ltd Class A,sse,2026-07-03,71.71,74.99,69.50,72.10,0.39,0.54,"2,460,625",177,N/A
"자동차, 트럭 및 오토바이 부품",53101020,603211,Jintuo Technology Co Ltd Class A,sse,2026-06-23,37,39.53,37,39.53,3.59,9.99,"10,822,900",427,N/A
"자동차, 트럭 및 오토바이 부품",53101020,603358,Huada Automotive Technology Corp Ltd Class A,sse,2026-07-03,44.04,45.88,42.82,44.48,0.44,1.0,"5,869,882",261,N/A
"자동차, 트럭 및 오토바이 부품",53101020,603950,Xiangyang Changyuandonggu Industry Co Ltd Class A,sse,2026-07-01,87.30,92.09,85.62,92.09,8.37,10.0,"4,648,203",428,N/A
전기 부품 및 장비,52102030,688103,Kunshan Guoli Electronic Technology Co Ltd Class A,sse,2026-07-02,74.62,86.31,71.51,85.16,12.15,16.64,"3,599,094",306,N/A
전자 장비 및 부품,57104010,600885,Hongfa Technology Co Ltd Class A,sse,2026-07-03,38.09,40.41,38.41,38.86,0.77,2.02,"13,679,231",531,N/A
