섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"가전제품, 도구 및 가정 용품",53204030,000521,Changhong Meiling Co Ltd Class A,szse,2026-07-01,5.97,6.36,5.71,6.09,0.21,3.57,"46,822,897",285,N/A
"가전제품, 도구 및 가정 용품",53204030,002403,Aishida Co Ltd Class A,szse,2026-05-15,11.68,11.78,10.90,11.78,1.07,9.99,"7,230,670",85,N/A
"가전제품, 도구 및 가정 용품",53204030,300894,Marssenger Kitchenware Co Ltd Class A,szse,2026-06-30,12.56,13.11,12.45,12.69,0.24,1.93,"14,940,000",189,N/A
가정용 가구,53204040,002293,Luolai Lifestyle Technology Co Ltd Class A,szse,2026-05-12,11.18,11.30,10.91,11.29,0.22,1.99,"8,067,356",91,N/A
가정용 가구,53204040,002489,Yotrio Group Co Ltd Class A,szse,2026-06-22,302,303,298,302,5,1.68,"38,800",11,N/A
가정용 가구 소매,53403030,301376,Ziel Home Furnishing Technology Co Ltd Class A,szse,2026-07-03,19.21,19.70,18.60,19.59,0.38,1.98,"3,140,185",61,N/A
가정용 전자 제품,57106030,002429,Shenzhen MTC Co Ltd Class A,szse,2026-04-20,2.59,2.63,2.46,2.60,0.05,1.96,"1,238,000",3,N/A
건설 및 엔지니어링,52201020,002163,Hainan Development Holdings Nanhai Co Ltd Class A,szse,2026-07-03,"2,012","2,029","2,013","2,018",6,0.3,"16,700",33,N/A
건설 및 엔지니어링,52201020,301046,Shanghai Nenghui Technology Co Ltd Class A,szse,2026-06-15,29.85,30.40,29,29.92,0.12,0.4,"5,302,106",158,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-05-27,"2,999","3,010","3,000","3,000",2,0.07,"1,800",5,N/A
고속도로 및 철도,52407030,000429,Guangdong Provincial Expressway Development Co Ltd Class A,szse,2026-06-01,14.16,14.32,13.75,14.28,0.39,2.81,"6,962,531",99,N/A
광고 및 마케팅,53302010,002181,Guangdong Guangzhou Daily Media Co Ltd Class A,szse,2026-07-03,254.20,259.60,254.60,259.50,5.30,2.08,"3,193,800",828,N/A
농화학제,51101020,002588,Stanley Agriculture Group Co Ltd Class A,szse,2026-04-08,"3,790","3,835","3,775","3,820",35,0.92,"2,400",9,N/A
농화학제,51101020,002734,Limin Group Co Ltd Class A,szse,2026-07-03,"1,093","1,119","1,093","1,114",21,1.92,"190,200",211,N/A
반도체,57101010,002436,Shenzhen Fastprint Circuit Tech Co Ltd Class A,szse,2026-07-03,610,627,600,620,10,1.64,"53,100",32,N/A
반도체,57101010,002579,Huizhou China Eagle Electronic Technology Inc Class A,szse,2026-07-03,"4,421","4,474","4,414","4,448",27,0.61,"510,300","2,269",N/A
반도체,57101010,300345,Hunan Huamin Holdings Co Ltd Class A,szse,2026-07-03,7.79,8.47,7.88,7.92,0.13,1.67,"55,916,792",442,N/A
반도체,57101010,300671,Fine Made Microelectronics Group Co Ltd Class A,szse,2026-07-03,94.35,105.58,90.66,103.90,9.55,10.12,"28,510,300","2,962",N/A
반도체 장비 및 테스트,57101020,002371,Naura Technology Group Co Ltd Class A,szse,2026-07-03,"3,564","3,585","3,536","3,582",18,0.51,"501,000","1,794",N/A
"부동산 임대, 개발 및 운영",60101010,000620,Winnovation Culturaltainment Development Ltd Class A,szse,2026-06-26,0.38,0.40,0.36,0.38,0,0.0,"202,000",0,N/A
"부동산 임대, 개발 및 운영",60101010,000718,Suning Universal Co Ltd Class A,szse,2026-06-24,0.03,0.04,0.03,0.03,0.00,3.03,"1,755,000",0,N/A
"부동산 임대, 개발 및 운영",60101010,000797,China Wu Yi Co Ltd Class A,szse,2026-07-03,1.20,1.20,1.18,1.20,0,0.0,"10,416,000",12,N/A
"부동산 임대, 개발 및 운영",60101010,002818,Chengdu Fusen Noble-House Industrial Co Ltd Class A,szse,2026-06-29,"1,740","1,750","1,741","1,750",11,0.63,"9,200",16,N/A
산업용 기계 및 장비,52102010,002520,ZheJiang RIFA Precision Machinery Co Ltd Class A,szse,2026-07-03,7.72,8.22,7.60,7.74,0.02,0.26,"158,504,079","1,226",N/A
산업용 기계 및 장비,52102010,002747,Estun Automation Co Ltd Class A,szse,2026-07-03,44.77,48.30,45.11,46.63,1.86,4.15,"165,693,271","7,726",N/A
산업용 기계 및 장비,52102010,002931,Zhejiang Fenglong Electric Co Ltd Class A,szse,2026-06-17,76.02,77.95,71.50,77.21,1.87,2.48,"28,970,387","2,236",N/A
산업용 기계 및 장비,52102010,002031,Greatoo Intelligent Equipment Inc Class A,szse,2026-06-29,0.41,0.44,0.41,0.41,0,0.0,"200,000",0,N/A
산업용 기계 및 장비,52102010,002520,ZheJiang RIFA Precision Machinery Co Ltd Class A,szse,2026-06-26,2.29,2.32,2.30,2.32,0.05,2.2,"60,000",0,N/A
산업용 기계 및 장비,52102010,002122,HuiZhou Intelligence Technology Group Co Ltd Class A,szse,2026-07-03,"1,338","1,365","1,341","1,364",26,1.94,"7,000",9,N/A
산업용 기계 및 장비,52102010,002376,Shandong New Beiyang Information Technology Co Ltd Class A,szse,2026-07-02,839,840,830,840,3,0.36,"8,400",7,N/A
산업용 기계 및 장비,52102010,002698,Harbin Boshi Automation Co Ltd Class A,szse,2026-07-03,"3,530","3,545","3,510","3,530",0,0.0,"7,000",24,N/A
산업용 기계 및 장비,52102010,300083,Guangdong Create Century Intelligent Equipment Group Corp Ltd Class A,szse,2026-07-01,13.66,14.40,13.35,14.21,0.55,4.03,"132,733,879","1,886",N/A
산업용 기계 및 장비,52102010,300145,Nanfang Pump Industry Co Ltd Class A,szse,2026-06-23,5.79,6.22,5.59,6.03,0.48,8.65,"241,843,830","1,458",N/A
산업용 기계 및 장비,52102010,300943,Zhejiang Chunhui Intelligent Control Co Ltd Class A,szse,2026-06-25,47.40,51.99,47.50,50.51,4.21,9.09,"13,975,774",705,N/A
상품 화학,51101010,000301,Jiangsu Eastern Shenghong Co Ltd Class A,szse,2026-05-06,13.35,13.68,13.10,13.55,1,7.97,"93,972,168","1,273",N/A
상품 화학,51101010,000301,Jiangsu Eastern Shenghong Co Ltd Class A,szse,2026-07-03,4.07,4.30,4.02,4.21,0.14,3.44,"2,511,490",10,N/A
상품 화학,51101010,002226,Anhui Jiangnan Chemical Industry Co Ltd Class A,szse,2026-07-03,"4,730","4,780","4,730","4,730",0,0.0,"3,200",15,N/A
상품 화학,51101010,002597,Anhui Jinhe Industrial Co Ltd Class A,szse,2026-07-03,"1,120","1,130","1,119","1,130",10,0.89,"6,100",6,N/A
상품 화학,51101010,002805,Shandong Fengyuan Chemical Co Ltd Class A,szse,2026-05-29,"5,630","5,810","5,400","5,770",340,6.26,"60,300",347,N/A
상품 화학,51101010,003002,Shanxi Huhua Group Co Ltd Class A,szse,2026-07-03,"4,000","4,035","4,000","4,020",20,0.5,"138,000",554,N/A
상품 화학,51101010,301393,Suzhou Highfine Biotech Co Ltd Class A,szse,2026-07-01,67.11,70.50,64.50,68.40,1.67,2.5,"4,349,864",297,N/A
소프트웨어,57201020,002528,Shenzhen Infinova Ltd Class A,szse,2026-06-30,0.94,1,0.92,0.98,0.06,6.52,"344,000",0,N/A
수자원 유틸리티,59103010,001376,Jiangxi Bestoo Energy Co Ltd Class A,szse,2026-06-30,"1,462","1,488","1,466","1,475",16,1.1,"8,500",12,N/A
오락용 제품,53205020,002678,Guangzhou Pearl River Piano Group Co Ltd Class A,szse,2026-05-22,"1,235","1,284","1,214","1,279",53,4.32,"1,143,800","1,462",N/A
온라인 서비스,57201030,300592,Huakai Yibai Technology Co Ltd Class A,szse,2026-07-01,18.47,19.30,18.02,18.89,0.64,3.51,"14,941,498",282,N/A
온라인 서비스,57201030,003010,Guangzhou Ruoyuchen Technology Co Ltd Class A,szse,2026-06-26,197,200,196,198,3,1.54,"326,800",64,N/A
용기(종이 제외) 및 포장재,51302010,002735,Shenzhen Prince New Materials Co Ltd Class A,szse,2026-07-03,632,637,629,636,4,0.63,"19,600",12,N/A
"의료 장비, 물품 및 유통",56101020,002901,Double Medical Technology Inc Class A,szse,2026-07-03,45.37,47.18,44.75,46.11,0.74,1.63,"4,279,400",197,N/A
의류 및 액세서리,53202020,000026,FIYTA Precision Technology Co Ltd Class A,szse,2026-06-03,57.85,58,58,58,0.90,1.58,"6,200",0,N/A
의류 및 액세서리,53202020,002269,Shanghai Metersbonwe Fashion&Accessories Co Ltd Class A,szse,2026-07-03,37.56,39.10,36.80,37.92,0.36,0.96,"32,224,600","1,221",N/A
의류 및 액세서리,53202020,002154,Baoxiniao Holding Co Ltd Class A,szse,2026-07-03,"1,921","1,952","1,914","1,933",12,0.62,"122,600",236,N/A
의류 및 액세서리 소매,53403040,000025,Shenzhen Tellus Holding Co Ltd Class A,szse,2026-07-03,4.88,5.20,4.98,5.20,0.32,6.56,"42,000",0,N/A
"자동차 차량, 부품 및 서비스 소매",53403010,301529,WuHu Foresight Technology Co Ltd Class A,szse,2026-05-22,126.76,135,120.42,127.04,2.74,2.2,"6,746,312",857,N/A
"자동차, 트럭 및 오토바이 부품",53101020,002472,Zhejiang Shuanghuan Driveline Co Ltd Class A,szse,2026-07-03,46.73,49.42,47.10,47.31,0.58,1.24,"92,864,680","4,393",N/A
"자동차, 트럭 및 오토바이 부품",53101020,002536,Feilong Auto Components Co Ltd Class A,szse,2026-07-03,51.96,57.16,51.66,55.18,3.22,6.2,"67,529,417","3,726",N/A
"자동차, 트럭 및 오토바이 부품",53101020,002965,Lucky Harvest Co Ltd Class A,szse,2026-07-03,52.60,57.86,52.26,55.72,3.12,5.93,"28,103,206","1,565",N/A
전기 부품 및 장비,52102030,002979,China Leadshine Technology Co Ltd Class A,szse,2026-07-03,69.55,76.51,72.50,74.51,4.96,7.13,"50,893,466","3,792",N/A
전기 부품 및 장비,52102030,002121,ShenZhen Clou Electronics Co Ltd Class A,szse,2026-07-03,"2,813","2,869","2,816","2,858",45,1.6,"223,800",639,N/A
전기 부품 및 장비,52102030,300503,Guangzhou Haozhi Industrial Co Ltd Class A,szse,2026-07-03,111,115.88,106.81,111.98,0.98,0.88,"42,556,383","4,765",N/A
전기 부품 및 장비,52102030,301018,Guangdong Shenling Environmental Systems Co Ltd Class A,szse,2026-05-22,119.90,132,117.78,126.26,8.48,7.2,"20,640,450","2,606",N/A
전기 부품 및 장비,52102030,301070,Kale Environment Technology (Shanghai) Co Ltd Class A,szse,2026-07-01,88.60,92.99,86.11,89.70,2.94,3.39,"5,545,467",497,N/A
전기 부품 및 장비,52102030,003028,Genbyte Technology Inc Class A,szse,2026-04-08,"2,079.46","2,109","2,060","2,100",26,1.25,"135,300",284,N/A
전문 및 비즈니스 교육,63103010,002607,Offcn Education Technology Co Ltd Class A,szse,2026-07-03,"4,039","4,091","4,031","4,089",50,1.24,"155,600",636,N/A
전자 장비 및 부품,57104010,001287,Shenzhen CECport Technologies Co Ltd Class A,szse,2026-06-30,31.15,31.47,30.05,31.47,2.86,10.0,"29,110,685",916,N/A
전자 장비 및 부품,57104010,002025,Guizhou Space Appliance Co Ltd Class A,szse,2026-07-03,83.70,92.07,83.33,92.07,8.37,10.0,"28,457,580","2,620",N/A
전자 장비 및 부품,57104010,002841,Guangzhou Shiyuan Electronic Technology Co Ltd Class A,szse,2026-05-13,39.71,40.32,36.53,39.95,1.61,4.2,"12,993,128",519,N/A
전자 장비 및 부품,57104010,002850,Shenzhen Kedali Industry Co Ltd Class A,szse,2026-07-03,226.16,237.77,227.02,228.57,2.41,1.07,"13,549,488","3,097",N/A
전자 장비 및 부품,57104010,002273,Zhejiang Crystal-Optech Co Ltd Class A,szse,2026-07-03,30.46,30.98,29.60,30.86,0.40,1.31,"1,764,700",54,N/A
전자 장비 및 부품,57104010,002217,Holitech Technology Co Ltd Class A,szse,2026-07-02,"1,552","1,578","1,554","1,554",5,0.32,"21,600",33,N/A
전자 장비 및 부품,57104010,002222,Castech Inc Class A,szse,2026-07-03,"2,545","2,580","2,531","2,554.50",9.50,0.37,"213,400",545,N/A
전자 장비 및 부품,57104010,300684,Jones Tech PLC Class A,szse,2026-05-25,65.78,74.41,62.05,74.41,12.40,20.0,"45,045,991","3,351",N/A
전자 장비 및 부품,57104010,301051,Shenzhen Xinhao Photoelectricity Technology Co Ltd Class A,szse,2026-07-03,22.77,24.39,22.68,23.49,0.72,3.16,"24,174,584",567,N/A
전자 장비 및 부품,57104010,301379,Techshine Electronics Co Ltd Class A,szse,2026-07-03,32.16,37.44,33.15,35.96,3.80,11.82,"56,729,779","2,040",N/A
제약,56201040,000566,Hainan Haiyao Co Ltd Class A,szse,2026-07-03,6.14,6.73,5.60,6.43,0.29,4.72,"311,421,347","2,002",N/A
제약,56201040,002317,Guangdong Zhongsheng Pharmaceutical Co Ltd Class A,szse,2026-07-03,27.44,29.49,26.93,28.49,1.05,3.83,"57,165,539","1,628",N/A
제약,56201040,002422,Sichuan Kelun Pharmaceutical Co Ltd Class A,szse,2026-07-03,47.98,52.78,45.40,48.19,0.21,0.44,"59,894,835","2,886",N/A
제약,56201040,002422,Sichuan Kelun Pharmaceutical Co Ltd Class A,szse,2026-06-05,1.88,2.20,1.89,2.11,0.31,17.22,"4,122,000",8,N/A
제약,56201040,002907,Chongqing Pharscin Pharmaceutical Co Ltd Class A,szse,2026-07-03,"1,566","1,615","1,566","1,588",22,1.4,"9,400",14,N/A
제약,56201040,300199,Hybio Pharmaceutical Co Ltd Class A,szse,2026-05-25,25.41,26.30,24.61,25.80,0.82,3.28,"74,157,168","1,913",N/A
제약,56201040,301211,Hubei Biocause Heilen Pharmaceutical Co Ltd Class A,szse,2026-04-08,12.35,13,11.76,12.37,0.15,1.23,"21,507,309",266,N/A
종이 포장재,51302020,002303,MYS Group Co Ltd Class A,szse,2026-06-30,4.30,4.36,4.21,4.32,0.02,0.47,"36,408,692",157,N/A
주택 건설,53203010,301365,Matrix Design Co Ltd Class A,szse,2026-07-03,40.02,41.88,39.58,41.34,1.32,3.3,"8,020,595",331,N/A
중장비 및 차량,52102020,002483,Jiangsu Rainbow Heavy Industries Co Ltd Class A,szse,2026-07-03,"2,260","2,334","2,245","2,300",40,1.77,"17,500",40,N/A
중장비 및 차량,52102020,002685,Wuxi Huadong Heavy Machinery Co Ltd Class A,szse,2026-06-04,"3,530","3,620","3,505","3,615",85,2.41,"175,500",634,N/A
중전기장비,52102040,002452,Changgao Electric Group Co Ltd Class A,szse,2026-07-03,12.93,13.86,13.19,13.65,0.72,5.57,"49,367,390",673,N/A
중전기장비,52102040,002358,Henan Senyuan Electric Co Ltd Class A,szse,2026-04-17,0.01,0.01,0.01,0.01,0.00,8.33,"650,000",0,N/A
중전기장비,52102040,002922,Eaglerise Electric & Electronic China Co Ltd Class A,szse,2026-06-29,"1,957","1,962","1,952","1,957",5,0.26,"5,400",10,N/A
지상 화물 및 물류,52405030,300873,Hichain Logistics Co Ltd Class A,szse,2026-07-03,31,33.50,31.42,31.72,0.72,2.32,"28,603,314",907,N/A
채굴 지원 서비스 및 장비,51201070,002526,Shandong Mining Machinery Group Co Ltd Class A,szse,2026-05-27,380,407.20,320,394.80,84.80,27.35,"191,602",75,N/A
천연가스 유틸리티,59102010,001331,Senton Energy Co Ltd Class A,szse,2026-07-03,63.49,65.45,59.90,63.70,0.21,0.33,"13,309,260",847,N/A
타이어 및 고무 제품,53101030,002224,Sanlux Co Ltd Class A,szse,2026-07-03,"3,670","3,670","3,655","3,670",0,0.0,500,1,N/A
