섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,GREEL,Vulcan Infrastructure and Power 8 50 Senior Notes due 2026,nasdaq,2026-07-23,24.80,24.80,24.72,24.80,+21.75%,+4.86%,0.00,0.0,"2,629",0.07,N/A
IT 서비스 및 컨설팅,57201010,SAIC,Science Applications International Corp,nasdaq,2026-06-04,116.57,121.91,116.27,119.43,+27.34%,+3.94%,2.93,2.51,"330,392",39.46,N/A
IT 서비스 및 컨설팅,57201010,SSNC,SS&C Technologies Holdings Inc,nasdaq,2026-07-16,70.57,75.46,71.21,73.21,+6.67%,+3.74%,6.26,9.35,"1,823,718",133.51,N/A
경영 지원 서비스,52203040,ACCL,Acco Group Holdings Ltd,nasdaq,2026-07-22,2.14,2.28,2.19,2.20,+57.14%,+13.99%,0.08,3.77,"41,444",0.09,N/A
경영 지원 서비스,52203040,CASS,Cass Information Systems Inc,nasdaq,2026-07-16,54.21,54.76,54.21,54.47,+15.78%,+0.48%,0.50,0.93,"36,908",2.01,N/A
기타 전문 소매,53403090,CGTL,Creative Global Technology Holdings Ltd,nasdaq,2026-07-23,4.78,4.98,4.62,4.80,+313.79%,+2.78%,0.03,0.52,"7,828",0.04,N/A
복합보험 및 중개인,55301010,GSHD,Goosehead Insurance Inc,nasdaq,2026-07-20,57.23,58.34,53.44,58.26,+20.75%,+5.60%,4.36,8.09,"411,587",23.98,N/A
비즈니스 지원 용품,52203060,MLKN,MillerKnoll Inc,nasdaq,2026-07-16,21.97,22.32,21.36,22.10,+30.20%,+0.59%,0.64,2.98,"204,980",4.53,N/A
산업용 기계 및 장비,52102010,RECT,Rectitude Holdings Ltd,nasdaq,2026-07-23,1.41,1.45,1.37,1.42,-2.74%,+14.52%,0.01,0.71,"9,021",0.01,N/A
상업용 REITs,60102020,ILPT,Industrial Logistics Properties Trust,nasdaq,2026-06-29,9.36,9.43,9.26,9.39,+23.81%,+4.63%,0.20,2.12,"104,148",0.98,N/A
생명 공학 및 의학 연구,56202010,ANIX,Anixa Biosciences Inc,nasdaq,2026-07-23,3.75,3.88,3.60,3.78,+27.27%,+13.86%,0.03,0.8,"247,481",0.94,N/A
생명 공학 및 의학 연구,56202010,DYN,Dyne Therapeutics  Inc,nasdaq,2026-07-09,24.27,24.87,23.70,24.54,+36.03%,+8.01%,0.65,2.72,"1,410,416",34.61,N/A
생명 공학 및 의학 연구,56202010,FTRE,Fortrea Holdings Inc,nasdaq,2026-07-23,19.50,20.09,19.25,19.80,+86.79%,+10.49%,0.30,1.54,"646,902",12.81,N/A
생명 공학 및 의학 연구,56202010,IKT,Inhibikase Therapeutics Inc,nasdaq,2026-07-23,2.33,2.53,2.34,2.44,+29.37%,+21.64%,0.12,4.94,"1,431,716",3.50,N/A
생명 공학 및 의학 연구,56202010,MEDP,Medpace Holdings Inc,nasdaq,2026-07-23,605.82,612.07,592.80,606.34,+43.90%,+12.72%,0.52,0.09,"194,203",117.75,N/A
생명 공학 및 의학 연구,56202010,ORIC,Oric Pharmaceuticals Inc,nasdaq,2026-07-02,11.64,12.43,10.76,12.37,+21.39%,+15.28%,1.48,13.59,"1,873,130",23.17,N/A
소프트웨어,57201020,CERT,Certara Inc,nasdaq,2026-07-16,7.28,7.47,7.13,7.43,+19.15%,+2.13%,0.32,4.57,"3,266,519",24.29,N/A
소프트웨어,57201020,ROP,Roper Technologies Inc,nasdaq,2026-07-06,364.25,371.28,359.42,365.60,+3.73%,+0.38%,10.48,2.95,"326,097",119.22,N/A
손해보험,55301020,ACT,Enact Holdings Inc,nasdaq,2026-07-16,46.55,46.98,46.27,46.56,+6.60%,+0.03%,0.59,1.29,"206,156",9.60,N/A
손해보험,55301020,IGIC,International General Insurance Holdings Ltd,nasdaq,2026-07-13,28.53,28.61,27.76,28.61,+8.70%,+4.07%,0.80,2.88,"16,269",0.47,N/A
손해보험,55301020,SAFT,Safety Insurance Group Inc,nasdaq,2026-07-07,78.28,103.42,102.87,103.08,+34.79%,+38.50%,30.14,41.33,"962,471",99.22,N/A
식품 가공,54102020,AFRI,Forafric Global PLC,nasdaq,2026-07-15,10.77,10.89,10.68,10.88,+7.83%,+3.52%,0.35,3.32,"1,673",0.02,N/A
식품 가공,54102020,OTLY,Oatly Group AB (publ) ADR,nasdaq,2026-07-23,12.56,13.20,12.32,13.00,+7.44%,+30.00%,0.44,3.5,"176,535",2.29,N/A
어업 및 농업,54102010,CALM,Cal-Maine Foods Inc,nasdaq,2026-07-20,88.42,89.96,87.02,89.91,+16.13%,+1.85%,1.77,2.01,"364,480",32.77,N/A
