섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
,,CMII,Columbus Circle Capital Corp II,nasdaq,2026-06-26,10.15,10.19,10.14,10.15,0.00,0.0,"6,700",0.07,N/A
IT 서비스 및 컨설팅,57201010,ALKT,Alkami Technology Inc,nasdaq,2026-06-01,18.95,19.48,18.80,19.02,0.30,1.6,"2,942,800",55.97,N/A
IT 서비스 및 컨설팅,57201010,KARO,Karooooo Ltd,nasdaq,2026-04-17,53.35,54.27,50.72,53.87,3.27,6.46,"108,700",5.86,N/A
IT 서비스 및 컨설팅,57201010,OKTA,Okta Inc,nasdaq,2026-07-01,140.46,145.95,138.09,141.42,0.96,0.68,"3,075,500",434.94,N/A
IT 서비스 및 컨설팅,57201010,QLYS,Qualys Inc,nasdaq,2026-07-01,143.44,148.42,141.00,148.12,4.68,3.26,"1,043,100",154.50,N/A
IT 서비스 및 컨설팅,57201010,RMNI,Rimini Street Inc,nasdaq,2026-07-01,4.50,4.64,4.48,4.54,0.04,0.89,"351,700",1.60,N/A
IT 서비스 및 컨설팅,57201010,VRSK,Verisk Analytics Inc,nasdaq,2026-04-29,188.19,190.02,182.42,188.35,4.63,2.52,"1,979,500",372.84,N/A
가정용 가구,53204040,BSET,Bassett Furniture Industries Inc,nasdaq,2026-07-01,18.79,20.99,18.16,20.23,1.44,7.66,"236,600",4.79,N/A
가정용 가구 소매,53403030,ARHS,Arhaus Inc,nasdaq,2026-07-01,8.59,8.81,8.53,8.62,0.03,0.35,"1,538,200",13.26,N/A
가정용 전자 제품,57106030,PLBL,Polibeli Group Ltd,nasdaq,2026-04-09,8.96,10.90,8.73,10.26,1.58,18.2,"848,200",8.70,N/A
가정용 전자 제품,57106030,UEIC,Universal Electronics Inc,nasdaq,2026-06-30,4.77,4.81,4.66,4.77,0.08,1.71,"28,800",0.14,N/A
가정용 제품,54201010,REYN,Reynolds Consumer Products Inc,nasdaq,2026-07-01,27.13,27.32,26.88,27.18,0.05,0.18,"1,424,100",38.71,N/A
개인 생활 필수 용품,54201020,IPAR,Interparfums Inc,nasdaq,2026-07-01,115.66,119.75,116.29,119.39,3.73,3.22,"527,000",62.92,N/A
개인 생활 필수 용품,54201020,KMB,Kimberly-Clark Corp,nasdaq,2026-07-01,111.44,115.02,111.95,114.72,3.28,2.94,"4,662,600",534.89,N/A
개인 생활 필수 용품,54201020,ODD,Oddity Tech Ltd,nasdaq,2026-07-01,17.01,17.94,17.01,17.90,0.89,5.23,"1,436,400",25.71,N/A
개인 생활 필수 용품,54201020,OLPX,Olaplex Holdings Inc,nasdaq,2026-05-27,2.06,2.09,2.04,2.07,0.02,0.98,"77,441,100",160.30,N/A
개인 서비스,54201030,DRVN,Driven Brands Holdings Inc,nasdaq,2026-05-18,14.24,14.71,14.14,14.47,0.36,2.55,"2,173,700",31.45,N/A
개인 서비스,54201030,FTDR,Frontdoor Inc,nasdaq,2026-07-01,78.44,80.09,77.23,78.50,0.06,0.08,"700,400",54.98,N/A
건설 자재 및 비품,53203020,CSTE,Caesarstone Ltd,nasdaq,2026-07-01,2.19,2.62,2.13,2.21,0.02,0.91,"651,400",1.44,N/A
경영 지원 서비스,52203040,CASS,Cass Information Systems Inc,nasdaq,2026-07-01,52.38,53.10,51.86,52.51,0.13,0.25,"85,900",4.51,N/A
경영 지원 서비스,52203040,DLO,Dlocal Ltd.,nasdaq,2026-07-01,14.67,15.43,14.69,14.88,0.21,1.43,"5,941,200",88.41,N/A
