섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",021240,코웨이,kospi,2026-05-14,"96,200","98,100","95,700","96,600","1,200",1.26,"18,405","1,777","68,361"
기타 금융업,-,105560,KB금융,kospi,2026-06-16,"172,000","173,900","168,500","172,800","2,700",1.59,"122,145","21,106","612,900"
기타 금융업,금융지주회사,055550,신한지주,kospi,2026-06-05,"107,500","110,500","106,500","109,500","2,200",2.05,"215,131","23,556","519,746"
기타 금융업,"지주사업, 경영자문 및 컨설팅",180640,한진칼,kospi,2026-07-03,"134,000","143,700","134,100","142,300","8,300",6.19,"17,770","2,528","95,002"
기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업",005430,한국공항,kospi,2026-05-28,"89,700","95,900","88,700","90,200",600,0.67,"4,651",419,"2,856"
기타 화학제품 제조업,"화장품, 의약품",161890,한국콜마,kospi,2026-07-03,"117,800","121,200","115,700","120,700","2,900",2.46,"66,750","8,056","28,491"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-06-29,"15,960","16,320","15,860","16,300",340,2.13,"13,350",217,"1,932"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-06-29,"15,960","16,320","15,860","16,300",340,2.13,"13,350",217,"1,932"
생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",081660,미스토홀딩스,kospi,2026-07-03,"46,850","47,200","45,700","46,850",0,0.0,"8,717",408,"24,873"
소프트웨어 개발 및 공급업,게임 소프트웨어,462870,시프트업,kospi,2026-07-03,"34,950","35,100","34,300","35,000",50,0.14,"9,155",320,"20,529"
신탁업 및 집합투자업,,415640,KB발해인프라,kospi,2026-07-03,"10,400","10,500","10,200","10,470",70,0.67,"5,312",55,"12,830"
영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",011230,삼화전자,kospi,2026-05-28,"3,905","4,230","3,590","4,230",655,18.32,"5,405,287","22,864",810
건물 건설업,아파트 시행 및 시공,007680,대원,kosdaq,2026-05-06,"4,540","5,100","4,200","5,100","1,170",29.77,"264,361","1,348",685
기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,148930,에이치와이티씨,kosdaq,2026-07-03,"3,290","3,385","3,270","3,350",60,1.82,"13,710",45,340
기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴",019210,와이지-원,kosdaq,2026-06-19,"22,600","26,650","23,200","25,800","3,200",14.16,"654,574","16,888","9,595"
기타 금융업,화장품용 진주광택안료,900310,컬러레이,kosdaq,2026-07-03,"2,050","2,060","2,030","2,060",10,0.49,173,0,263
기타 전문 도매업,"표면처리약품, 전자동 도금설비",042040,케이피엠테크,kosdaq,2026-06-26,"4,275","4,620","4,620","4,620","1,065",29.96,"9,644",44,114
기타 화학제품 제조업,화학제품 및 전자재료,060230,제이케이시냅스,kosdaq,2026-04-27,512,"1,495","1,257","1,337","1,038",347.16,"26,111",34,752
상품 중개업,골프시뮬레이터,121440,골프존홀딩스,kosdaq,2026-07-01,"6,640","6,660","6,640","6,650",10,0.15,"91,265",606,"2,848"
의료용 기기 제조업,의료기기 및 미용기기,219750,한국비티비,kosdaq,2026-06-25,"2,395","2,785","2,450","2,530",385,17.95,"86,283",218,331
의약품 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)",200230,텔콘RF제약,kosdaq,2026-06-30,"2,425","2,720","2,720","2,720",625,29.83,"73,731",200,194
전문디자인업,"캐릭터디자인,캐릭터완구 등",039830,오로라,kosdaq,2026-07-03,"20,400","22,350","20,150","21,600","1,200",5.88,"60,780","1,312","2,324"
통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",061040,알에프텍,kosdaq,2026-07-03,"8,300","8,400","8,140","8,400",100,1.2,"2,778",23,760
회사 본부 및 경영 컨설팅 서비스업,경영자문 및 지주사업,035610,솔본,kosdaq,2026-04-29,"3,825","3,830","3,785","3,825",10,0.26,"2,284",8,"1,045"
