섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
Communication Services,Advertising,OMC,Omnicom Group,s&p500,2026-04-16,77.93,78.77,75.37,78.62,2.51,3.3,"3,318,000",260.86,N/A
Communication Services,Interactive Home Entertainment,TTWO,Take-Two Interactive,s&p500,2026-07-01,250.32,255.27,249.14,254.99,4.67,1.87,"2,033,700",518.57,N/A
Communication Services,Movies & Entertainment,LYV,Live Nation Entertainment,s&p500,2026-07-01,183.98,186.84,180.02,186.59,2.61,1.42,"2,321,400",433.15,N/A
Consumer Discretionary,Computer & Electronics Retail,BBY,Best Buy,s&p500,2026-06-26,77.71,78.36,76.51,77.99,0.76,0.98,"3,486,600",271.92,N/A
Consumer Discretionary,Distributors,GPC,Genuine Parts Company,s&p500,2026-06-30,117.98,135.44,116.76,132.57,15.17,12.92,"5,081,700",673.68,N/A
Consumer Discretionary,Home Improvement Retail,HD,Home Depot (The),s&p500,2026-06-30,352.68,358.19,347.65,357.90,7.06,2.01,"3,110,500","1,113.25",N/A
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ABNB,Airbnb,s&p500,2026-07-01,147.31,150.07,146.50,148.93,1.62,1.1,"3,496,200",520.69,N/A
Consumer Discretionary,Restaurants,YUM,Yum! Brands,s&p500,2026-04-17,162.00,164.95,160.99,164.73,3.14,1.94,"2,247,900",370.30,N/A
Consumer Discretionary,Specialized Consumer Services,DASH,DoorDash,s&p500,2026-04-20,189.80,193.44,188.95,192.01,3.14,1.66,"4,581,900",879.77,N/A
Consumer Staples,Consumer Staples Merchandise Retail,DLTR,Dollar Tree,s&p500,2026-06-26,123.87,125.49,122.46,124.05,2.90,2.39,"3,261,100",404.54,N/A
Consumer Staples,Food Distributors,SYY,Sysco,s&p500,2026-06-30,83.03,84.87,82.92,84.83,1.85,2.23,"3,651,600",309.77,N/A
Consumer Staples,Household Products,CL,Colgate-Palmolive,s&p500,2026-07-01,92.76,95.42,93.24,95.13,2.37,2.55,"4,170,900",396.78,N/A
Consumer Staples,Household Products,KMB,Kimberly-Clark,s&p500,2026-07-01,111.44,115.02,111.95,114.72,3.28,2.94,"4,662,600",534.89,N/A
Consumer Staples,Packaged Foods & Meats,KHC,Kraft Heinz,s&p500,2026-07-01,25.01,25.51,25.04,25.37,0.36,1.44,"14,452,200",366.65,N/A
Consumer Staples,Personal Care Products,KVUE,Kenvue,s&p500,2026-07-01,19.33,19.87,19.44,19.83,0.50,2.59,"11,433,400",226.72,N/A
Consumer Staples,Soft Drinks & Non-alcoholic Beverages,KO,Coca-Cola Company (The),s&p500,2026-06-10,83.05,84.14,81.40,84.14,2.85,3.51,"18,308,400","1,540.47",N/A
Financials,Asset Management & Custody Banks,AMP,Ameriprise Financial,s&p500,2026-07-01,479.68,492.46,481.50,489.16,9.48,1.98,"694,500",339.72,N/A
Financials,Asset Management & Custody Banks,BEN,Franklin Resources,s&p500,2026-07-01,34.06,34.55,33.59,34.11,0.05,0.15,"4,063,500",138.61,N/A
Financials,Asset Management & Custody Banks,NTRS,Northern Trust,s&p500,2026-06-23,176.26,177.55,174.54,176.50,0.90,0.51,"613,100",108.21,N/A
Financials,Asset Management & Custody Banks,TROW,T. Rowe Price,s&p500,2026-07-01,116.11,118.64,116.39,118.55,2.44,2.1,"1,450,100",171.91,N/A
Financials,Consumer Finance,AXP,American Express,s&p500,2026-07-01,347.05,352.09,346.02,351.96,4.91,1.41,"2,440,600",858.99,N/A
Financials,Diversified Banks,BAC,Bank of America,s&p500,2026-07-01,58.36,59.00,57.94,58.73,0.37,0.63,"29,329,700","1,722.53",N/A
Financials,Financial Exchanges & Data,MCO,Moody's Corporation,s&p500,2026-06-16,468.41,490.74,474.27,490.51,22.13,4.72,"933,200",457.74,N/A
Financials,Financial Exchanges & Data,SPGI,S&P Global,s&p500,2026-04-22,423.86,440.01,422.59,439.89,24.92,6.01,"3,749,300","1,649.28",N/A
Financials,Insurance Brokers,AJG,Arthur J. Gallagher & Co.,s&p500,2026-07-01,239.67,252.96,240.31,252.44,12.77,5.33,"2,741,400",692.04,N/A
Financials,Insurance Brokers,AON,Aon plc,s&p500,2026-07-01,343.56,357.54,344.20,357.46,13.90,4.05,"1,183,000",422.88,N/A
Financials,Insurance Brokers,BRO,Brown & Brown,s&p500,2026-04-21,68.75,70.08,67.10,70.00,2.64,3.92,"2,383,200",166.82,N/A
Financials,Investment Banking & Brokerage,HOOD,Robinhood Markets,s&p500,2026-07-01,108.65,120.05,110.93,112.73,4.08,3.76,"41,152,400","4,639.11",N/A
Financials,Investment Banking & Brokerage,RJF,Raymond James Financial,s&p500,2026-05-06,158.80,163.98,159.50,162.66,4.47,2.83,"1,573,500",255.95,N/A
Financials,Life & Health Insurance,AFL,Aflac,s&p500,2026-06-26,120.15,120.88,117.61,120.88,2.39,2.02,"1,762,400",213.04,N/A
Financials,Life & Health Insurance,GL,Globe Life,s&p500,2026-07-01,180.07,181.39,177.81,180.49,0.42,0.23,"651,500",117.59,N/A
Financials,Life & Health Insurance,MET,MetLife,s&p500,2026-06-12,88.84,90.06,87.72,90.06,2.86,3.28,"3,145,600",283.29,N/A
Financials,Life & Health Insurance,PRU,Prudential Financial,s&p500,2026-07-01,111.07,113.00,111.01,112.95,1.88,1.69,"1,541,800",174.15,N/A
Financials,Multi-line Insurance,AIG,American International Group,s&p500,2026-05-01,78.25,79.43,76.50,79.39,2.80,3.66,"3,491,800",277.21,N/A
Financials,Multi-line Insurance,AIZ,Assurant,s&p500,2026-07-01,274.14,279.50,271.47,279.48,5.34,1.95,"276,600",77.30,N/A
Financials,Multi-line Insurance,L,Loews Corporation,s&p500,2026-07-01,114.12,116.58,113.54,116.52,2.40,2.1,"644,800",75.13,N/A
Financials,Property & Casualty Insurance,ACGL,Arch Capital Group,s&p500,2026-04-21,98.85,102.25,97.96,102.20,3.65,3.7,"2,236,800",228.60,N/A
Financials,Property & Casualty Insurance,ALL,Allstate,s&p500,2026-07-01,243.12,250.38,242.28,250.33,7.21,2.97,"1,602,500",401.15,N/A
Financials,Property & Casualty Insurance,CB,Chubb Limited,s&p500,2026-07-01,351.73,361.33,349.60,361.17,9.44,2.68,"1,499,200",541.47,N/A
Financials,Property & Casualty Insurance,CINF,Cincinnati Financial,s&p500,2026-07-01,187.21,192.09,186.88,192.03,4.82,2.57,"798,400",153.32,N/A
Financials,Property & Casualty Insurance,PGR,Progressive Corporation,s&p500,2026-07-01,225.20,232.30,222.42,232.22,7.02,3.12,"3,107,700",721.67,N/A
Financials,Property & Casualty Insurance,TRV,Travelers Companies (The),s&p500,2026-07-01,334.62,342.31,331.80,342.31,7.69,2.3,"1,459,200",499.50,N/A
Financials,Property & Casualty Insurance,WRB,W. R. Berkley Corporation,s&p500,2026-06-26,71.27,72.31,69.93,72.08,1.42,2.01,"1,940,700",139.89,N/A
Financials,Reinsurance,EG,Everest Group,s&p500,2026-06-29,360.79,372.36,357.89,371.35,11.42,3.17,"389,400",144.60,N/A
Financials,Transaction & Payment Processing Services,GPN,Global Payments,s&p500,2026-05-29,75.22,78.71,75.55,78.63,3.58,4.77,"4,358,600",342.72,N/A
Financials,Transaction & Payment Processing Services,MA,Mastercard,s&p500,2026-04-29,525.23,539.63,526.07,539.39,16.95,3.24,"3,900,200","2,103.73",N/A
Financials,Transaction & Payment Processing Services,V,Visa Inc.,s&p500,2026-07-01,351.08,362.13,352.51,362.13,11.05,3.15,"9,814,800","3,554.23",N/A
Financials,Transaction & Payment Processing Services,XYZ,"Block, Inc.",s&p500,2026-06-29,78.02,81.04,77.66,78.83,1.70,2.2,"5,480,900",432.06,N/A
Health Care,Biotechnology,ABBV,AbbVie,s&p500,2026-06-29,254.31,261.64,250.51,261.07,10.01,3.99,"7,113,400","1,857.10",N/A
Health Care,Biotechnology,AMGN,Amgen,s&p500,2026-06-30,362.12,375.15,363.39,374.15,12.82,3.55,"2,487,600",930.74,N/A
Health Care,Biotechnology,INCY,Incyte,s&p500,2026-06-29,114.66,118.69,113.50,116.86,3.05,2.68,"2,632,100",307.59,N/A
Health Care,Biotechnology,MRNA,Moderna,s&p500,2026-07-01,72.50,81.40,73.68,79.76,7.26,10.01,"14,087,700","1,123.63",N/A
Health Care,Biotechnology,VRTX,Vertex Pharmaceuticals,s&p500,2026-06-29,499.65,529.14,501.53,528.04,30.03,6.03,"1,855,600",979.83,N/A
Health Care,Health Care Distributors,CAH,Cardinal Health,s&p500,2026-07-01,237.72,240.91,237.53,238.94,1.22,0.51,"2,039,100",487.22,N/A
Health Care,Health Care Distributors,HSIC,Henry Schein,s&p500,2026-06-26,84.95,86.51,84.74,86.43,1.91,2.26,"2,152,700",186.06,N/A
Health Care,Health Care Equipment,BAX,Baxter International,s&p500,2026-06-26,22.04,22.76,22.02,22.65,0.96,4.43,"6,546,600",148.28,N/A
Health Care,Health Care Equipment,BDX,Becton Dickinson,s&p500,2026-04-20,157.53,158.72,153.93,158.08,5.18,3.39,"2,040,500",322.56,N/A
Health Care,Health Care Equipment,EW,Edwards Lifesciences,s&p500,2026-07-01,91.99,94.47,91.82,94.37,2.38,2.59,"3,206,400",302.59,N/A
Health Care,Health Care Equipment,RVTY,Revvity,s&p500,2026-06-25,113.53,114.51,112.19,113.76,0.92,0.82,"972,300",110.61,N/A
Health Care,Health Care Services,DVA,DaVita,s&p500,2026-07-01,228.03,236.51,230.58,234.91,6.88,3.02,"842,300",197.86,N/A
Health Care,Health Care Services,LH,Labcorp,s&p500,2026-07-01,283.88,287.50,282.26,286.98,3.10,1.09,"632,900",181.63,N/A
Health Care,Health Care Supplies,COO,Cooper Companies (The),s&p500,2026-07-01,71.95,74.45,72.33,74.20,2.25,3.13,"3,259,700",241.87,N/A
Health Care,Health Care Supplies,WST,West Pharmaceutical Services,s&p500,2026-07-01,365.00,367.66,362.83,365.74,0.74,0.2,"547,200",200.13,N/A
