섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"가전제품, 도구 및 가정 용품",53204030,002668,Guangdong TCL Smart Home Appliances Co Ltd Class A,szse,2026-07-02,0.49,0.53,0.48,0.52,0.03,7.22,"66,000,000",34,N/A
가정용 가구 소매,53403030,301376,Ziel Home Furnishing Technology Co Ltd Class A,szse,2026-05-20,18.87,19.61,18.63,19.21,0.60,3.22,"5,030,245",96,N/A
건설 및 엔지니어링,52201020,002163,Hainan Development Holdings Nanhai Co Ltd Class A,szse,2026-07-03,"2,012","2,029","2,018","2,018",6,0.3,"8,300",16,N/A
건설 및 엔지니어링,52201020,002307,Xinjiang Beixin Road & Bridge Group Co Ltd Class A,szse,2026-04-17,998,"1,005",990,"1,000",23,2.35,"8,600",8,N/A
건설 자재 및 비품,53203020,002372,Zhejiang Weixing New Building Materials Co Ltd Class A,szse,2026-06-26,1.11,1.17,1.07,1.14,0.03,2.7,"736,000",0,N/A
건설 자재 및 비품,53203020,002108,Cangzhou Mingzhu Plastic Co Ltd Class A,szse,2026-07-03,"4,975","5,030","4,980","5,000",25,0.5,"3,200",16,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-05-27,"2,999","3,005","3,000","3,005",7,0.23,"1,200",3,N/A
광고 및 마케팅,53302010,002181,Guangdong Guangzhou Daily Media Co Ltd Class A,szse,2026-07-03,254.20,258.60,254.60,258,3.80,1.49,"721,400",186,N/A
농화학제,51101020,002734,Limin Group Co Ltd Class A,szse,2026-07-03,"1,093","1,106","1,093","1,105",12,1.1,"43,700",48,N/A
반도체,57101010,002056,Hengdian Group DMEGC Magnetics Co Ltd Class A,szse,2026-07-01,30.76,33.73,29.11,32.82,2.16,7.05,"125,844,393","4,130",N/A
반도체,57101010,002579,Huizhou China Eagle Electronic Technology Inc Class A,szse,2026-07-03,"4,421","4,455","4,414","4,444",23,0.52,"95,400",423,N/A
반도체,57101010,002916,Shennan Circuits Co Ltd Class A,szse,2026-07-02,737,738,731,738,1,0.14,"1,900",1,N/A
