섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,000158,Shijiazhuang ChangShan BeiMing Technology Co Ltd Class A,szse,2026-08-04,58,58,58,58,-0.50%,+0.00%,0,0.0,"1,000",0,N/A
IT 서비스 및 컨설팅,57201010,002657,Sinodata Co Ltd Class A,szse,2026-08-26,58,58,56,58,+48.72%,+7.41%,0,0.0,"44,450",2,N/A
IT 서비스 및 컨설팅,57201010,300010,Doushen Beijing Education & Technology Inc Class A,szse,2026-06-02,3,3.24,2.70,3.11,+4.71%,+44.65%,0.40,14.76,"190,347,334",591,N/A
IT 서비스 및 컨설팅,57201010,300333,Sinosun Technology Co Ltd Class A,szse,2026-08-26,12.34,14.33,12.34,13.78,+32.76%,+25.96%,1.44,11.67,"105,716,442","1,456",N/A
"가전제품, 도구 및 가정 용품",53204030,002005,Elec-Tech International Co Ltd Class A,szse,2026-08-26,2.64,2.72,2.66,2.68,+14.26%,+9.82%,0.04,1.51,"7,597,000",20,N/A
"가전제품, 도구 및 가정 용품",53204030,002543,Guangdong Vanward New Electric Co Ltd Class A,szse,2026-06-12,31.40,38.14,34.26,36.42,+17.11%,+23.96%,5.42,17.48,"378,900",13,N/A
"가전제품, 도구 및 가정 용품",53204030,002668,Guangdong TCL Smart Home Appliances Co Ltd Class A,szse,2026-07-03,0.52,0.53,0.49,0.52,+38.16%,+9.37%,0.03,6.06,"25,630,000",13,N/A
가정용 제품,54201010,002094,Qingdao Kingking Applied Chemistry Co Ltd Class A,szse,2026-08-26,5.65,5.99,5.45,5.66,+5.20%,+21.72%,0.01,0.18,"153,670,031",869,N/A
건설 및 엔지니어링,52201020,000828,Dongguan Development Holdings Co Ltd Class A,szse,2026-08-03,10.18,10.38,10.13,10.33,+1.08%,+8.28%,0.17,1.67,"11,552,817",119,N/A
건설 및 엔지니어링,52201020,000928,Sinosteel Engineering & Technology Co Ltd Class A,szse,2026-08-05,0.11,0.11,0.11,0.11,+45.33%,+6.86%,0.00,3.81,"14,320,008",1,N/A
건설 자재 및 비품,53203020,002638,Dongguan Kingsun Optoelectronic Co Ltd Class A,szse,2026-08-26,4.50,4.58,4.35,4.54,-0.22%,+21.07%,0.04,0.89,"58,509,346",265,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-08-26,"3,075","3,090","3,060","3,080",+2.70%,+0.98%,5,0.16,"14,700",45,N/A
경영 지원 서비스,52203040,002769,Guangdong Prolto Supply Chain Management Co Ltd Class A,szse,2026-08-26,911,915,911,915,+11.04%,+1.22%,4,0.44,"4,400",4,N/A
경영 지원 서비스,52203040,301449,Shenzhen Tiansu Calibration and Testing Co Ltd Class A,szse,2026-08-25,46.91,48.55,45.29,47.86,+10.60%,+20.13%,2.05,4.48,"4,279,000",204,N/A
고속도로 및 철도,52407030,001965,China Merchants Expressway Network Technology Holdings Co Ltd Class A,szse,2026-08-26,"6,900","7,280","6,920","6,960",+9.95%,+14.85%,60,0.87,"103,100",717,N/A
금,51201060,000506,Zhaojin International Gold Co Ltd Class A,szse,2026-08-26,3.62,3.76,3.62,3.75,+11.02%,+14.85%,0.12,3.45,"7,431,000",27,N/A
농화학제,51101020,000731,Sichuan Meifeng Chemical Industry Co Ltd Class A,szse,2026-08-24,6.21,6.26,6.15,6.25,+1.30%,+2.46%,0.04,0.64,"7,471,000",46,N/A
농화학제,51101020,000902,YONFER Agricultural Technology Co Ltd Class A,szse,2026-07-31,14,14.49,13.78,14.39,+9.02%,+5.11%,0.53,3.82,"23,396,229",336,N/A
농화학제,51101020,000912,Sichuan Lutianhua Co Ltd Class A,szse,2026-08-25,3.92,3.97,3.86,3.96,+1.80%,+6.17%,0.06,1.54,"33,097,004",131,N/A
농화학제,51101020,002215,Shenzhen Noposion Crop Science Co Ltd Class A,szse,2026-06-15,10.04,10.55,10.02,10.49,+13.53%,+11.24%,0.45,4.48,"55,198,922",579,N/A
농화학제,51101020,002539,Chengdu Wintrue Holding Co Ltd Class A,szse,2026-08-26,12.99,13.48,12.90,13.39,+8.47%,+4.45%,0.40,3.08,"22,852,300",305,N/A
농화학제,51101020,002758,ZJAMP Group Co Ltd Class A,szse,2026-06-02,8.46,8.90,8.08,8.51,-1.50%,+4.16%,0.38,4.67,"23,327,397",198,N/A
농화학제,51101020,000525,Nanjing Red Sun Co Ltd Class A,szse,2026-07-30,2.33,2.39,2.28,2.38,+6.07%,+5.56%,0.09,3.71,"22,648,669",53,N/A
농화학제,51101020,002170,Shenzhen Batian Ecotypic Engineering Co Ltd Class A,szse,2026-08-21,704,722,697,715,+27.98%,+3.47%,18,2.58,"528,800",378,N/A
농화학제,51101020,300575,Jiangsu Flag Chemical Industry Co Ltd Class A,szse,2026-08-26,6.06,6.24,6.01,6.21,+0.00%,+2.99%,0.15,2.48,"16,137,741",100,N/A
농화학제,51101020,301035,Shandong Weifang Rainbow Chemical Co Ltd Class A,szse,2026-07-30,56.80,57.31,55.50,57.16,+4.71%,+8.36%,0.70,1.24,"1,990,174",113,N/A
다각적 산업용 제품 도매,52202010,000626,Grand Industrial Holding Co Ltd Class A,szse,2026-08-20,8.34,8.68,8.17,8.55,+4.27%,+2.52%,0.33,4.01,"15,757,700",134,N/A
