섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 비철금속 제조업,"알루미늄판 제조,도매",018470,조일알미늄,kospi,2026-06-18,"1,121","5,450","4,825","4,830",+318.54%,+396.40%,"3,857",396.4,"403,093","1,946","6,116"
1차 철강 제조업,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",004020,현대제철,kospi,2026-09-10,"33,850","34,000","32,500","33,950",-2.72%,+7.78%,100,0.3,"119,396","4,053","45,304"
1차 철강 제조업,강관,306200,세아제강,kospi,2026-09-10,"147,900","149,200","145,100","149,000",+2.05%,+2.97%,"1,100",0.74,"3,240",482,"4,226"
1차 철강 제조업,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",007280,한국특강,kospi,2026-09-10,"2,405","2,450","2,360","2,425",+10.48%,+4.53%,20,0.83,"3,743",9,694
건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",294870,IPARK현대산업개발,kospi,2026-09-10,"23,850","24,600","23,500","24,500",+20.10%,+5.15%,650,2.73,"56,091","1,374","16,147"
건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",006360,GS건설,kospi,2026-08-26,"37,800","39,350","36,400","37,900",+28.69%,+10.66%,650,1.74,"1,996,540","75,668","32,435"
"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",443060,HD현대마린솔루션,kospi,2026-06-18,"239,000","249,500","229,500","239,500",-2.84%,+13.78%,"10,000",4.36,"104,309","24,982","107,376"
"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",130660,한전산업,kospi,2026-09-09,"13,450","14,090","13,100","13,680",-1.94%,+14.00%,470,3.56,"671,344","9,183","4,459"
"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,052690,한전기술,kospi,2026-09-10,"145,000","150,800","144,400","146,600",+8.35%,+36.25%,"1,600",1.1,"351,442","51,521","56,030"
"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,112610,씨에스윈드,kospi,2026-09-10,"51,100","54,000","49,600","52,000",+4.21%,+10.76%,900,1.76,"326,760","16,991","21,929"
금융 지원 서비스업,"금융업, 서비스, 부동산",030210,다올투자증권,kospi,2026-09-10,"4,010","4,040","3,980","4,025",+9.67%,+2.42%,15,0.37,"10,066",40,"2,451"
기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리",028100,동아지질,kospi,2026-08-10,"18,140","18,280","17,820","18,150",+8.04%,+2.43%,290,1.62,"7,238",131,"2,036"
기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",007540,샘표,kospi,2026-09-10,"55,700","72,400","64,400","66,700",+55.12%,+55.12%,"11,000",19.75,"591,632","39,461","1,918"
기타 금융업,금융지주 회사,175330,JB금융지주,kospi,2026-09-03,"31,600","32,200","30,600","31,950",+17.25%,+3.06%,500,1.59,"139,944","4,471","59,593"
기타 금융업,지주회사,012630,HDC,kospi,2026-09-10,"27,350","28,500","26,650","28,400",+31.79%,+25.39%,"1,050",3.84,"78,663","2,234","16,966"
기타 금융업,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",006120,SK디스커버리,kospi,2026-09-10,"57,400","57,700","56,400","57,700",+22.12%,+9.07%,300,0.52,"1,844",106,"10,047"
기타 금융업,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",001230,동국홀딩스,kospi,2026-09-10,"2,070","2,080","2,015","2,080",-0.48%,+2.46%,10,0.48,"87,570",182,"3,234"
기타 비금속 광물제품 제조업,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대",004090,한국석유,kospi,2026-09-10,"12,740","14,580","13,110","13,180",+10.66%,+16.33%,440,3.45,"1,244,879","16,407","1,673"
기타 식품 제조업,간장,248170,샘표식품,kospi,2026-09-10,"30,150","36,200","30,050","30,600",+33.04%,+31.90%,450,1.49,"1,670,574","51,119","1,397"
기타 식품 제조업,설탕,145990,삼양사,kospi,2026-09-10,"48,200","48,250","47,300","48,200",+10.80%,+3.43%,0,0.0,"2,293",110,"4,971"
석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",014530,극동유화,kospi,2026-09-10,"3,415","3,700","3,380","3,475",+6.11%,+7.09%,60,1.76,"839,198","2,916","1,211"
연료용 가스 제조 및 배관공급업,도시가스,267290,경동도시가스,kospi,2026-09-10,"22,300","22,400","22,050","22,300",+11.50%,+0.68%,0,0.0,"2,765",61,"1,314"
연료용 가스 제조 및 배관공급업,천연가스,117580,대성에너지,kospi,2026-09-10,"7,510","8,130","7,520","7,570",+6.77%,+8.76%,60,0.8,"745,647","5,644","2,081"
