섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 자재 및 비품,53203020,HID,Halcom Vietnam JSC,hose,2026-09-11,"4,330","4,630","4,120","4,630",+8.69%,+29.33%,300,6.93,"1,410,808","6,532",N/A
다각적 산업용 제품 도매,52202010,PIT,Petrolimex International Trading JSC,hose,2026-09-08,"8,800","9,010","8,750","9,010",+35.69%,+4.77%,260,2.97,"15,986",144,N/A
민자 발전 사업,59101020,TMP,Thac Mo Hydropower JSC,hose,2026-09-03,"53,100","53,700","53,700","53,700",+11.88%,+1.13%,"1,200",2.29,500,26,N/A
상품 화학,51101010,APH,An Phat Holdings JSC,hose,2026-09-11,"6,430","6,840","6,400","6,780",+4114.65%,+13.57%,350,5.44,"841,124","5,702",N/A
상품 화학,51101010,HII,An Tien Industries JSC,hose,2026-09-10,"10,550","11,000","10,150","10,950",+3588.23%,+21.67%,650,6.31,"1,216,670","13,322",N/A
오일 및 가스 수송 서비스,50103030,PVP,Pacific Petroleum Transportation JSC,hose,2026-09-10,"19,100","19,600","18,750","19,100",+12.02%,+6.70%,200,1.06,"1,094,236","20,899",N/A
오일 및 가스 수송 서비스,50103030,PVT,Petrovietnam Transportation Corp,hose,2026-09-11,"22,100","22,850","22,100","22,300",+11.78%,+11.78%,200,0.9,"6,453,472","143,912",N/A
"오일, 가스 정제 및 마케팅",50102030,ASP,An Pha Petroleum Group JSC,hose,2026-09-11,"14,300","15,300","14,300","14,850",+103.70%,+6.45%,550,3.85,"265,270","3,939",N/A
"오일, 가스 정제 및 마케팅",50102030,BSR,Petrovietnam Refining and Petrochemical Corp,hose,2026-09-11,"27,550","28,900","27,650","28,250",+7.01%,+7.41%,700,2.54,"14,030,555","396,363",N/A
"오일, 가스 정제 및 마케팅",50102030,PGC,Petrolimex Gas Corp JSC,hose,2026-08-27,"14,200","15,150","14,150","14,700",+33339.49%,+5.38%,500,3.52,"219,291","3,223",N/A
용기(종이 제외) 및 포장재,51302010,TPC,Tan Dai Hung Plastic JSC,hose,2026-09-11,"13,400","13,700","13,700","13,700",+114.06%,+3.40%,300,2.24,"400,028","5,480",N/A
은행,55101010,SSB,Southeast Asia Commercial Joint Stock Bank,hose,2026-09-11,"18,300","19,550","18,500","19,550",+31.65%,+9.52%,"1,250",6.83,"42,552,413","831,899",N/A
컴퓨터 및 전자 제품 소매,53403050,DGW,Digiworld Corp,hose,2026-09-10,"44,750","45,500","43,250","44,800",+9.27%,+7.18%,400,0.9,"1,946,616","87,208",N/A
통합 오일 및 가스,50102010,GAS,Petrovietnam Gas Joint Stock Corp,hose,2026-08-24,"85,000","86,800","84,000","85,500",+4.52%,+3.26%,"2,600",3.14,"1,344,076","114,918",N/A
