섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,332A,MEEQ Inc,tse,2026-09-15,"1,154","1,166","1,145","1,155",+8.35%,+2.76%,1,0.09,"45,400",52,N/A
개인 서비스,54201030,150A,JSH Co Ltd,tse,2026-08-31,805,880,773,841,+138.92%,+19.12%,51,6.46,"452,400",380,N/A
건설 및 엔지니어링,52201020,256A,Tobishima Holdings Inc,tse,2026-09-15,"2,308","2,344","2,304","2,340",+15.44%,+5.64%,32,1.39,"214,800",502,N/A
건설 및 엔지니어링,52201020,460A,Branu Inc,tse,2026-09-15,"1,190","1,284","1,173","1,240",+46.40%,+22.53%,50,4.2,"94,300",116,N/A
경영 지원 서비스,52203040,189A,D&M Company Co Ltd,tse,2026-09-14,"1,048","1,061","1,038","1,059",+9.51%,+1.34%,17,1.63,"4,600",4,N/A
경영 지원 서비스,52203040,296A,Reiwa Accounting Holdings Co Ltd,tse,2026-08-31,"1,187","1,231","1,175","1,198",+53.59%,+6.77%,21,1.78,"104,300",124,N/A
고용 서비스,52203030,142A,Jinjibu Co Ltd,tse,2026-08-21,861,907,831,874,+20.72%,+5.94%,45,5.43,"24,600",21,N/A
레스토랑 및 바,53301020,428A,Cypress Holdings Co Ltd,tse,2026-09-15,"1,630","1,686","1,617","1,676",+38.97%,+6.68%,46,2.82,"28,800",48,N/A
반도체,57101010,167A,Ryoyo Ryosan Holdings Inc,tse,2026-09-01,"3,275","3,275","3,220","3,275",+20.14%,+4.13%,30,0.92,"130,400",427,N/A
소비자 출판,53302040,500A,TO Books Inc,tse,2026-09-14,"3,545","3,745","3,570","3,700",+28.56%,+7.25%,155,4.37,"24,500",90,N/A
"오일, 가스 정제 및 마케팅",50102030,416A,Fuji United Holdings Co Ltd,tse,2026-09-15,"1,347","1,354","1,325","1,354",+15.83%,+4.39%,7,0.52,"19,000",25,N/A
