섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 자재,51202010,600802,Fujian Cement Inc Class A,sse,2026-09-16,6.02,6.02,5.36,6.02,+44.71%,+0.00%,0.55,10.05,"33,902,230",204,N/A
건설 자재 및 비품,53203020,605268,Wangli Security & Surveillance Product Co Ltd Class A,sse,2026-08-18,10.16,10.86,9.81,10.33,+13.52%,+9.54%,0.46,4.66,"18,180,113",187,N/A
경영 지원 서비스,52203040,603373,Anbang Save-Guard Group Co Ltd Class A,sse,2026-09-22,43.60,47.96,43.60,47.96,+32.60%,+15.43%,4.36,10.0,"3,535,197",169,N/A
고속도로 및 철도,52407030,601107,SICHUAN EXPRESSWAY GROUP COMPANY LIMITED Class A,sse,2026-07-30,6.02,6.04,5.92,6.03,+19.41%,+0.33%,0.05,0.84,"5,066,576",30,N/A
반도체,57101010,603328,Guangdong Ellington Electronics Technology Co Ltd Class A,sse,2026-09-16,14.31,15.20,13.75,15.20,+24.69%,+6.22%,1.38,9.99,"65,084,743",989,N/A
반도체,57101010,688512,Smarter Microelectronics Guangzhou Co Ltd Class A,sse,2026-07-09,16.09,17.32,14.46,17.32,+19.12%,+22.84%,2.89,20.03,"50,798,102",879,N/A
"부동산 임대, 개발 및 운영",60101010,600082,Tianjin Hi-Tech Development Co Ltd Class A,sse,2026-09-14,3.23,3.29,3.13,3.27,+27.24%,+5.48%,0.11,3.48,"9,164,500",29,N/A
"부동산 임대, 개발 및 운영",60101010,600325,Zhuhai Huafa Properties Co Ltd Class A,sse,2026-09-22,2.82,2.99,2.76,2.82,+22.61%,+18.99%,0,0.0,"207,014,012",583,N/A
"부동산 임대, 개발 및 운영",60101010,600383,Gemdale Corp Class A,sse,2026-09-22,2.50,2.65,2.47,2.52,+17.21%,+17.21%,0.02,0.8,"296,144,969",746,N/A
"부동산 임대, 개발 및 운영",60101010,600503,Deluxe Family Co Ltd Class A,sse,2026-09-22,2.67,2.94,2.59,2.91,+47.72%,+36.62%,0.24,8.99,"387,460,669","1,127",N/A
"부동산 임대, 개발 및 운영",60101010,600605,Shanghai Huitong Energy Co Ltd Class A,sse,2026-06-30,28.92,31.61,28.56,31.61,+8.74%,+21.62%,2.87,9.99,"13,933,275",440,N/A
