섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
가구 제조업,"사무용가구,금속가구 도매,제조",071950,코아스,kospi,2026-03-12,"2,350","2,560",465,22.2,"390,745","1,000",318
고무제품 제조업,타이어 제조,161390,한국타이어앤테크놀로지,kospi,2026-06-02,"69,800","71,800","2,000",2.87,"600,479","43,114","88,942"
기타 금융업,-,105560,KB금융,kospi,2026-04-16,"162,300","164,200","7,600",4.85,"2,143,129","351,901","612,220"
기타 금융업,금융지주회사,055550,신한지주,kospi,2026-04-20,"100,000","100,100","3,700",3.84,"2,050,259","205,230","475,129"
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-06-02,"1,346,000","1,361,000","15,000",1.11,"858,305","1,168,153","1,795,953"
기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",028260,삼성물산,kospi,2026-06-02,"485,500","535,000","49,500",10.2,"1,331,923","712,578","867,596"
기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",02826K,삼성물산우B,kospi,2026-05-11,"265,000","265,000","13,500",5.37,"26,331","6,977","3,889"
기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",001740,SK네트웍스,kospi,2026-06-02,"12,840","13,010",170,1.32,"27,739,479","360,890","26,097"
보험업,생명보험상품,085620,미래에셋생명,kospi,2026-03-18,"18,280","19,410","2,210",12.85,"1,592,402","30,908","26,238"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000810,삼성화재,kospi,2026-06-02,"641,000","730,000","89,000",13.88,"443,786","323,963","325,926"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000815,삼성화재우,kospi,2026-03-25,"402,500","411,500","25,000",6.47,"91,000","37,446","12,373"
소프트웨어 개발 및 공급업,모바일게임,192080,더블유게임즈,kospi,2026-05-28,"70,000","70,300",400,0.57,"86,233","6,062","14,884"
자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",092200,디아이씨,kospi,2026-06-02,"9,600","10,260",660,6.88,"3,356,418","34,436","3,989"
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",007810,코리아써키트,kospi,2026-06-01,"119,600","122,300","13,300",12.2,"561,042","68,615","29,330"
종합 소매업,백화점,069960,현대백화점,kospi,2026-05-14,"125,000","139,800","18,000",14.78,"556,045","77,735","30,147"
종합 소매업,"백화점,할인점(E마트)",004170,신세계,kospi,2026-05-21,"578,000","659,000","90,000",15.82,"163,545","107,776","62,243"
특수 목적용 기계 제조업,LP CVD,036930,주성엔지니어링,kosdaq global,2026-05-26,"234,500","250,500","53,600",27.22,"6,828,007","1,710,415","116,435"
금융 지원 서비스업,기업인수목적 주식회사,472230,에스케이증권제11호스팩,kosdaq,2026-03-11,"2,070","2,070",0,0.0,840,1,86
금융 지원 서비스업,기업인수합병,464440,한국제13호스팩,kosdaq,2026-06-01,"2,115","2,115",8,0.38,"70,893",149,91
금융 지원 서비스업,기업인수합병,464680,KB제27호스팩,kosdaq,2026-05-29,"2,110","2,110",0,0.0,"248,457",524,272
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-05-27,"2,100","2,105",5,0.24,"3,990",8,153
기계장비 및 관련 물품 도매업,"반도체(메모리,비메모리), CPU, TFT-LCD, 네트웍 장비, PC 및 주변기기, 이동통신수탁사업",031330,에스에이엠티,kosdaq,2026-05-18,"18,590","18,860","2,590",15.92,"3,795,803","71,588","18,859"
기초 의약물질 제조업,닥터쥬크르,007390,네이처셀,kosdaq,2026-05-28,"32,300","34,550","3,800",12.36,"2,004,213","69,245","22,262"
봉제의복 제조업,"캐쥬얼의류(Thursday Island, TI FOR MEN)",065060,지엔코,kosdaq,2026-06-01,"3,450","3,480",130,3.88,"64,506",224,208
"영화, 비디오물, 방송프로그램 제작 및 배급업",VFX,476080,M83,kosdaq,2026-04-16,"7,220","7,760","1,790",29.98,"255,867","1,985",626
의약품 제조업,"인체조직(피부, 뼈, 연골)",290650,엘앤씨바이오,kosdaq,2026-03-10,"82,800","84,000","5,200",6.6,"692,171","58,142","22,654"
자동차 신품 부품 제조업,"마이크로비트,샤프트",085910,네오티스,kosdaq,2026-05-14,"32,000","33,750","5,150",18.01,"370,234","12,495","4,703"
